date,MOD_STB,Hami_CDN,MOD_FIFAFlow,HAMI_WEBGA
2018-06-13-12:10,1028,34,32017,2442
2018-06-13-12:15,1071,37,32017,2442
2018-06-13-12:20,1068,34,32017,2442
2018-06-13-12:25,1067,33,32017,2442
2018-06-13-12:30,1082,32,32017,2442
2018-06-13-12:35,1085,38,32017,2442
2018-06-13-12:40,1092,38,32017,2442
2018-06-13-12:45,1159,41,32017,2442
2018-06-13-12:50,1157,42,32017,2442
2018-06-13-12:55,1157,41,32017,2442
2018-06-13-13:00,1212,39,32017,1857
2018-06-13-13:05,1210,44,32017,1857
2018-06-13-13:10,1209,46,32017,1857
2018-06-13-13:15,1259,44,32017,1857
2018-06-13-13:20,1260,44,32017,1857
2018-06-13-13:25,1258,43,32017,1857
2018-06-13-13:30,1265,44,32017,1857
2018-06-13-13:35,1261,41,32017,1857
2018-06-13-13:40,1258,36,32017,1857
2018-06-13-13:45,1084,40,32017,1857
2018-06-13-13:50,1082,37,32017,1857
2018-06-13-13:55,1081,32,32017,1857
2018-06-13-14:00,1026,30,32017,1799
2018-06-13-14:05,1027,33,32017,1799
2018-06-13-14:10,1028,35,32017,1799
2018-06-13-14:15,974,37,32017,1799
2018-06-13-14:20,977,36,32017,1799
2018-06-13-14:25,975,37,32017,1799
2018-06-13-14:30,990,35,32017,1799
2018-06-13-14:35,991,34,32017,1799
2018-06-13-14:40,991,33,32017,1799
2018-06-13-14:45,1037,36,32017,1799
2018-06-13-14:50,1036,38,32017,1799
2018-06-13-14:55,1038,35,32017,1799
2018-06-13-15:00,1099,40,32017,1808
2018-06-13-15:05,1099,42,32017,1808
2018-06-13-15:10,1098,38,32017,1808
2018-06-13-15:15,1070,39,32017,1808
2018-06-13-15:20,1070,37,32017,1808
2018-06-13-15:25,1068,40,32017,1808
2018-06-13-15:30,1089,41,32017,1808
2018-06-13-15:35,1089,39,32017,1808
2018-06-13-15:40,1088,40,32017,1808
2018-06-13-15:45,1249,38,32017,1808
2018-06-13-15:50,1250,40,32017,1808
2018-06-13-15:55,1252,37,32017,1808
2018-06-13-16:00,1371,42,32017,1889
2018-06-13-16:05,1371,40,32017,1889
2018-06-13-16:10,1370,44,32017,1889
2018-06-13-16:15,1378,40,32017,1889
2018-06-13-16:20,1376,42,32017,1889
2018-06-13-16:25,1377,40,32017,1889
2018-06-13-16:30,1424,44,32017,1889
2018-06-13-16:35,1424,46,32017,1889
2018-06-13-16:40,1426,49,32017,1889
2018-06-13-16:45,1577,51,32017,1889
2018-06-13-16:50,1580,50,32017,1889
2018-06-13-16:55,1580,51,32017,1889
2018-06-13-17:00,1678,53,32017,2313
2018-06-13-17:05,1676,58,32017,2313
2018-06-13-17:10,1670,52,32017,2313
2018-06-13-17:15,1427,46,32017,2313
2018-06-13-17:20,1426,42,32017,2313
2018-06-13-17:25,1426,43,32017,2313
2018-06-13-17:30,1463,41,32017,2313
2018-06-13-17:35,1463,36,32017,2313
2018-06-13-17:40,1465,34,32017,2313
2018-06-13-17:45,1513,34,32017,2313
2018-06-13-17:50,1515,34,32017,2313
2018-06-13-17:55,1512,31,32017,2313
2018-06-13-18:00,1497,27,32017,3519
2018-06-13-18:05,1497,33,32017,3519
2018-06-13-18:10,1499,32,32017,3519
2018-06-13-18:15,1602,32,32017,3519
2018-06-13-18:20,1603,32,32017,3519
2018-06-13-18:25,1603,42,32017,3519
2018-06-13-18:30,2618,47,32017,3519
2018-06-13-18:35,2618,47,32017,3519
2018-06-13-18:40,2619,43,32017,3519
2018-06-13-18:45,3305,44,32017,3519
2018-06-13-18:50,3307,39,32017,3519
2018-06-13-18:55,3309,45,32017,3519
2018-06-13-19:00,3681,47,32017,3762
2018-06-13-19:05,3684,48,32017,3762
2018-06-13-19:10,3688,48,32017,3762
2018-06-13-19:15,4064,46,32017,3762
2018-06-13-19:20,4062,47,32017,3762
2018-06-13-19:25,4068,49,32017,3762
2018-06-13-19:30,4715,57,32017,3762
2018-06-13-19:35,4717,50,32017,3762
2018-06-13-19:40,4718,51,32017,3762
2018-06-13-19:45,4812,59,32017,3762
2018-06-13-19:50,4806,59,32017,3762
2018-06-13-19:55,4798,58,32017,3762
2018-06-13-20:00,5347,59,32017,4332
2018-06-13-20:05,5348,58,32017,4332
2018-06-13-20:10,5354,64,32017,4332
2018-06-13-20:15,5182,72,32017,4332
2018-06-13-20:20,5181,68,32017,4332
2018-06-13-20:25,5184,73,32017,4332
2018-06-13-20:30,5442,62,32017,4332
2018-06-13-20:35,5443,65,32017,4332
2018-06-13-20:40,5447,66,32017,4332
2018-06-13-20:45,5766,66,32017,4332
2018-06-13-20:50,5766,71,32017,4332
2018-06-13-20:55,5769,71,32017,4332
2018-06-13-21:00,6073,71,32017,4149
2018-06-13-21:05,6074,75,32017,4149
2018-06-13-21:10,6071,72,32017,4149
2018-06-13-21:15,6109,85,32017,4149
2018-06-13-21:20,6108,89,32017,4149
2018-06-13-21:25,6111,89,32017,4149
2018-06-13-21:30,6540,90,32017,4149
2018-06-13-21:35,6538,90,32017,4149
2018-06-13-21:40,6542,95,32017,4149
2018-06-13-21:45,6611,96,32017,4149
2018-06-13-21:50,6607,98,32017,4149
2018-06-13-21:55,6607,100,32017,4149
2018-06-13-22:00,5806,106,32017,4218
2018-06-13-22:05,5812,106,32017,4218
2018-06-13-22:10,5820,116,32017,4218
2018-06-13-22:15,4529,126,32017,4218
2018-06-13-22:20,4526,138,32017,4218
2018-06-13-22:25,4529,138,32017,4218
2018-06-13-22:30,4459,148,32017,4218
2018-06-13-22:35,4466,157,32017,4218
2018-06-13-22:40,4472,154,32017,4218
2018-06-13-22:45,4140,156,32017,4218
2018-06-13-22:50,4138,161,32017,4218
2018-06-13-22:55,4136,155,32017,4218
2018-06-13-23:00,4188,151,32017,3438
2018-06-13-23:05,4193,151,32017,3438
2018-06-13-23:10,4196,154,32017,3438
2018-06-13-23:15,4244,165,32017,3438
2018-06-13-23:20,4248,160,32017,3438
2018-06-13-23:25,4246,158,32017,3438
2018-06-13-23:30,3853,159,32017,3438
2018-06-13-23:35,3834,143,32017,3438
2018-06-13-23:40,3808,119,32017,3438
2018-06-13-23:45,3143,108,32017,3438
2018-06-13-23:50,3140,98,32017,3438
2018-06-13-23:55,3126,84,32017,3438
2018-06-14-00:00,2846,87,133696,3141
2018-06-14-00:05,2848,83,133696,3141
2018-06-14-00:10,2851,81,133696,3141
2018-06-14-00:15,2652,82,133696,3141
2018-06-14-00:20,2648,78,133696,3141
2018-06-14-00:25,2645,71,133696,3141
2018-06-14-00:30,2598,71,133696,3141
2018-06-14-00:35,2598,71,133696,3141
2018-06-14-00:40,2604,71,133696,3141
2018-06-14-00:45,2592,68,133696,3141
2018-06-14-00:50,2590,74,133696,3141
2018-06-14-00:55,2592,72,133696,3141
2018-06-14-01:00,2584,75,133696,1456
2018-06-14-01:05,2588,65,133696,1456
2018-06-14-01:10,2590,66,133696,1456
2018-06-14-01:15,2515,67,133696,1456
2018-06-14-01:20,2514,68,133696,1456
2018-06-14-01:25,2514,64,133696,1456
2018-06-14-01:30,2443,61,133696,1456
2018-06-14-01:35,2443,60,133696,1456
2018-06-14-01:40,2442,61,133696,1456
2018-06-14-01:45,2458,61,133696,1456
2018-06-14-01:50,2458,59,133696,1456
2018-06-14-01:55,2460,61,133696,1456
2018-06-14-02:00,2433,59,133696,890
2018-06-14-02:05,2435,57,133696,890
2018-06-14-02:10,2434,60,133696,890
2018-06-14-02:15,2419,58,133696,890
2018-06-14-02:20,2419,62,133696,890
2018-06-14-02:25,2413,57,133696,890
2018-06-14-02:30,2397,58,133696,890
2018-06-14-02:35,2400,57,133696,890
2018-06-14-02:40,2402,53,133696,890
2018-06-14-02:45,2419,54,133696,890
2018-06-14-02:50,2420,57,133696,890
2018-06-14-02:55,2422,58,133696,890
2018-06-14-03:00,2400,56,133696,573
2018-06-14-03:05,2398,55,133696,573
2018-06-14-03:10,2392,50,133696,573
2018-06-14-03:15,2306,46,133696,573
2018-06-14-03:20,2303,45,133696,573
2018-06-14-03:25,2301,41,133696,573
2018-06-14-03:30,2260,39,133696,573
2018-06-14-03:35,2259,37,133696,573
2018-06-14-03:40,2259,37,133696,573
2018-06-14-03:45,2258,34,133696,573
2018-06-14-03:50,2258,33,133696,573
2018-06-14-03:55,2257,33,133696,573
2018-06-14-04:00,2255,30,133696,495
2018-06-14-04:05,2255,31,133696,495
2018-06-14-04:10,2254,31,133696,495
2018-06-14-04:15,2246,31,133696,495
2018-06-14-04:20,2245,31,133696,495
2018-06-14-04:25,2245,31,133696,495
2018-06-14-04:30,2237,31,133696,495
2018-06-14-04:35,2235,31,133696,495
2018-06-14-04:40,2235,31,133696,495
2018-06-14-04:45,2234,31,133696,495
2018-06-14-04:50,2235,31,133696,495
2018-06-14-04:55,2234,29,133696,495
2018-06-14-05:00,2217,27,133696,571
2018-06-14-05:05,2216,28,133696,571
2018-06-14-05:10,2216,28,133696,571
2018-06-14-05:15,2205,28,133696,571
2018-06-14-05:20,2204,28,133696,571
2018-06-14-05:25,2204,29,133696,571
2018-06-14-05:30,2183,27,133696,571
2018-06-14-05:35,2182,29,133696,571
2018-06-14-05:40,2182,29,133696,571
2018-06-14-05:45,2166,29,133696,571
2018-06-14-05:50,2166,28,133696,571
2018-06-14-05:55,2167,29,133696,571
2018-06-14-06:00,2154,28,133696,993
2018-06-14-06:05,2153,29,133696,993
2018-06-14-06:10,2154,28,133696,993
2018-06-14-06:15,2100,26,133696,993
2018-06-14-06:20,2099,25,133696,993
2018-06-14-06:25,2100,27,133696,993
2018-06-14-06:30,1981,26,133696,993
2018-06-14-06:35,1980,27,133696,993
2018-06-14-06:40,1981,28,133696,993
2018-06-14-06:45,1928,28,133696,993
2018-06-14-06:50,1928,29,133696,993
2018-06-14-06:55,1930,26,133696,993
2018-06-14-07:00,1854,28,133696,1617
2018-06-14-07:05,1854,29,133696,1617
2018-06-14-07:10,1855,30,133696,1617
2018-06-14-07:15,1795,27,133696,1617
2018-06-14-07:20,1793,27,133696,1617
2018-06-14-07:25,1793,29,133696,1617
2018-06-14-07:30,1714,28,133696,1617
2018-06-14-07:35,1714,30,133696,1617
2018-06-14-07:40,1714,31,133696,1617
2018-06-14-07:45,1703,32,133696,1617
2018-06-14-07:50,1703,33,133696,1617
2018-06-14-07:55,1703,29,133696,1617
2018-06-14-08:00,1683,30,133696,1989
2018-06-14-08:05,1683,31,133696,1989
2018-06-14-08:10,1681,33,133696,1989
2018-06-14-08:15,1688,37,133696,1989
2018-06-14-08:20,1690,42,133696,1989
