date,MOD_STB,Hami_CDN,MOD_FIFAFlow,HAMI_WEBGA
2018-06-15-04:50,12581,163,225263,717
2018-06-15-04:55,12576,162,225263,717
2018-06-15-05:00,12450,159,225263,935
2018-06-15-05:05,12449,157,225263,935
2018-06-15-05:10,12448,148,225263,935
2018-06-15-05:15,12356,146,225263,935
2018-06-15-05:20,12356,147,225263,935
2018-06-15-05:25,12353,148,225263,935
2018-06-15-05:30,12301,150,225263,935
2018-06-15-05:35,12301,155,225263,935
2018-06-15-05:40,12300,153,225263,935
2018-06-15-05:45,12224,154,225263,935
2018-06-15-05:50,12220,150,225263,935
2018-06-15-05:55,12218,153,225263,935
2018-06-15-06:00,12172,157,225263,1940
2018-06-15-06:05,12174,158,225263,1940
2018-06-15-06:10,12171,154,225263,1940
2018-06-15-06:15,12097,158,225263,1940
2018-06-15-06:20,12096,157,225263,1940
2018-06-15-06:25,12096,159,225263,1940
2018-06-15-06:30,12023,156,225263,1940
2018-06-15-06:35,12029,152,225263,1940
2018-06-15-06:40,12025,161,225263,1940
2018-06-15-06:45,11788,174,225263,1940
2018-06-15-06:50,11790,174,225263,1940
2018-06-15-06:55,11790,178,225263,1940
2018-06-15-07:00,11418,179,225263,2937
2018-06-15-07:05,11423,176,225263,2937
2018-06-15-07:10,11422,187,225263,2937
2018-06-15-07:15,11302,186,225263,2937
2018-06-15-07:20,11311,196,225263,2937
2018-06-15-07:25,11322,202,225263,2937
2018-06-15-07:30,11290,206,225263,2937
2018-06-15-07:35,11286,214,225263,2937
2018-06-15-07:40,11285,220,225263,2937
2018-06-15-07:45,11262,206,225263,2937
2018-06-15-07:50,11282,230,225263,2937
2018-06-15-07:55,11294,230,225263,2937
2018-06-15-08:00,10221,186,225263,3680
2018-06-15-08:05,10215,183,225263,3680
2018-06-15-08:10,10210,174,225263,3680
2018-06-15-08:15,9913,186,225263,3680
2018-06-15-08:20,9915,176,225263,3680
2018-06-15-08:25,9925,180,225263,3680
2018-06-15-08:30,9814,180,225263,3680
2018-06-15-08:35,9811,183,225263,3680
2018-06-15-08:40,9803,177,225263,3680
2018-06-15-08:45,9507,183,225263,3680
2018-06-15-08:50,9504,182,225263,3680
2018-06-15-08:55,9502,176,225263,3680
2018-06-15-09:00,9386,184,225263,3993
2018-06-15-09:05,9395,190,225263,3993
2018-06-15-09:10,9405,193,225263,3993
2018-06-15-09:15,9413,195,225263,3993
2018-06-15-09:20,9408,198,225263,3993
2018-06-15-09:25,9421,199,225263,3993
2018-06-15-09:30,9260,185,225263,3993
2018-06-15-09:35,9268,194,225263,3993
2018-06-15-09:40,9274,197,225263,3993
2018-06-15-09:45,9215,204,225263,3993
2018-06-15-09:50,9211,214,225263,3993
2018-06-15-09:55,9221,216,225263,3993
2018-06-15-10:00,9250,220,225263,4298
2018-06-15-10:05,9256,227,225263,4298
2018-06-15-10:10,9261,227,225263,4298
2018-06-15-10:15,9091,231,225263,4298
2018-06-15-10:20,9083,231,225263,4298
2018-06-15-10:25,9079,229,225263,4298
2018-06-15-10:30,8610,240,225263,4298
2018-06-15-10:35,8609,241,225263,4298
2018-06-15-10:40,8619,243,225263,4298
2018-06-15-10:45,7939,248,225263,4298
2018-06-15-10:50,7930,232,225263,4298
2018-06-15-10:55,7934,229,225263,4298
2018-06-15-11:00,7025,230,225263,4542
2018-06-15-11:05,7015,209,225263,4542
2018-06-15-11:10,7018,221,225263,4542
2018-06-15-11:15,6029,224,225263,4542
2018-06-15-11:20,6035,240,225263,4542
2018-06-15-11:25,6048,256,225263,4542
2018-06-15-11:30,6520,267,225263,4542
2018-06-15-11:35,6513,259,225263,4542
2018-06-15-11:40,6519,274,225263,4542
2018-06-15-11:45,6269,285,225263,4542
2018-06-15-11:50,6273,280,225263,4542
2018-06-15-11:55,6271,291,225263,4542
2018-06-15-12:00,4910,258,225263,5184
2018-06-15-12:05,4913,256,225263,5184
2018-06-15-12:10,4911,224,225263,5184
2018-06-15-12:15,4431,232,225263,5184
2018-06-15-12:20,4434,217,225263,5184
2018-06-15-12:25,4428,200,225263,5184
2018-06-15-12:30,3935,193,225263,5184
2018-06-15-12:35,3922,200,225263,5184
2018-06-15-12:40,3914,204,225263,5184
2018-06-15-12:45,3662,184,225263,5184
2018-06-15-12:50,3655,182,225263,5184
2018-06-15-12:55,3654,184,225263,5184
2018-06-15-13:00,3483,198,225263,4351
2018-06-15-13:05,3494,199,225263,4351
2018-06-15-13:10,3496,202,225263,4351
2018-06-15-13:15,3491,225,225263,4351
2018-06-15-13:20,3486,225,225263,4351
2018-06-15-13:25,3486,231,225263,4351
2018-06-15-13:30,1662,210,225263,4351
2018-06-15-13:35,1662,212,225263,4351
2018-06-15-13:40,1661,222,225263,4351
2018-06-15-13:45,3386,216,225263,4351
2018-06-15-13:50,3381,211,225263,4351
2018-06-15-13:55,3382,206,225263,4351
2018-06-15-14:00,3362,227,225263,4335
2018-06-15-14:05,3348,222,225263,4335
2018-06-15-14:10,3351,218,225263,4335
2018-06-15-14:15,3356,221,225263,4335
2018-06-15-14:20,3358,216,225263,4335
2018-06-15-14:25,3360,204,225263,4335
2018-06-15-14:30,1662,211,225263,4335
2018-06-15-14:35,1669,220,225263,4335
2018-06-15-14:40,1670,218,225263,4335
2018-06-15-14:45,884,231,225263,4335
2018-06-15-14:50,883,234,225263,4335
2018-06-15-14:55,880,247,225263,4335
2018-06-15-15:00,878,252,225263,6021
2018-06-15-15:05,878,244,225263,6021
2018-06-15-15:10,885,237,225263,6021
2018-06-15-15:15,881,240,225263,6021
2018-06-15-15:20,885,248,225263,6021
2018-06-15-15:25,876,237,225263,6021
2018-06-15-15:30,876,243,225263,6021
2018-06-15-15:35,880,255,225263,6021
2018-06-15-15:40,887,259,225263,6021
2018-06-15-15:45,883,287,225263,6021
2018-06-15-15:50,881,285,225263,6021
2018-06-15-15:55,883,303,225263,6021
2018-06-15-16:00,882,296,225263,7236
2018-06-15-16:05,885,300,225263,7236
2018-06-15-16:10,882,295,225263,7236
2018-06-15-16:15,885,312,225263,7236
2018-06-15-16:20,886,316,225263,7236
2018-06-15-16:25,882,323,225263,7236
2018-06-15-16:30,1047,339,225263,7236
2018-06-15-16:35,1055,363,225263,7236
2018-06-15-16:40,1053,387,225263,7236
2018-06-15-16:45,1051,409,225263,7236
2018-06-15-16:50,1053,430,225263,7236
2018-06-15-16:55,1062,424,225263,7236
2018-06-15-17:00,1064,435,225263,11065
2018-06-15-17:05,3089,429,225263,11065
2018-06-15-17:10,3090,456,225263,11065
2018-06-15-17:15,3094,474,225263,11065
2018-06-15-17:20,6209,478,225263,11065
2018-06-15-17:25,6208,463,225263,11065
2018-06-15-17:30,6208,472,225263,11065
2018-06-15-17:35,6210,501,225263,11065
2018-06-15-17:40,6218,526,225263,11065
2018-06-15-17:45,6226,545,225263,11065
2018-06-15-17:50,6920,544,225263,11065
2018-06-15-17:55,6925,587,225263,11065
2018-06-15-18:00,6935,595,225263,15373
2018-06-15-18:05,7536,611,225263,15373
2018-06-15-18:10,7538,614,225263,15373
2018-06-15-18:15,7544,662,225263,15373
2018-06-15-18:20,8238,728,225263,15373
2018-06-15-18:25,8240,751,225263,15373
2018-06-15-18:30,8203,749,225263,15373
2018-06-15-18:35,8118,766,225263,15373
2018-06-15-18:40,8123,834,225263,15373
2018-06-15-18:45,8126,916,225263,15373
2018-06-15-18:50,8720,992,225263,15373
2018-06-15-18:55,8729,1086,225263,15373
2018-06-15-19:00,8745,1112,225263,36972
2018-06-15-19:05,9719,1261,225263,36972
2018-06-15-19:10,9751,1317,225263,36972
2018-06-15-19:15,9773,1527,225263,36972
2018-06-15-19:20,10159,1622,225263,36972
2018-06-15-19:25,10232,1840,225263,36972
2018-06-15-19:30,10320,2121,225263,36972
2018-06-15-19:35,11998,2502,225263,36972
2018-06-15-19:40,12125,2816,225263,36972
2018-06-15-19:45,12235,3003,225263,36972
2018-06-15-19:50,14906,3412,225263,36972
2018-06-15-19:55,15299,3901,225263,36972
2018-06-15-20:00,15955,4599,225263,75368
2018-06-15-20:05,28173,5073,225263,75368
2018-06-15-20:10,28485,5428,225263,75368
2018-06-15-20:15,28786,5690,225263,75368
2018-06-15-20:20,34221,5861,225263,75368
2018-06-15-20:25,34449,6165,225263,75368
2018-06-15-20:30,34643,6329,225263,75368
2018-06-15-20:35,37814,6507,225263,75368
2018-06-15-20:40,37931,6675,225263,75368
2018-06-15-20:45,37748,6715,225263,75368
2018-06-15-20:50,35707,5847,225263,75368
2018-06-15-20:55,35842,6241,225263,75368
2018-06-15-21:00,36084,6689,225263,32783
2018-06-15-21:05,40566,7261,225263,32783
2018-06-15-21:10,40857,7642,225263,32783
2018-06-15-21:15,41053,7835,225263,32783
2018-06-15-21:20,44760,8121,225263,32783
2018-06-15-21:25,44818,8481,225263,32783
2018-06-15-21:30,44912,8857,225263,32783
2018-06-15-21:35,48484,9199,225263,32783
2018-06-15-21:40,48579,9543,225263,32783
2018-06-15-21:45,48777,9840,225263,32783
2018-06-15-21:50,52391,10034,225263,32783
2018-06-15-21:55,50683,8349,225263,32783
2018-06-15-22:00,49164,6045,225263,30483
2018-06-15-22:05,32616,5445,225263,30483
2018-06-15-22:10,32485,5247,225263,30483
2018-06-15-22:15,32381,5190,225263,30483
2018-06-15-22:20,28135,5280,225263,30483
2018-06-15-22:25,28041,5420,225263,30483
2018-06-15-22:30,28159,5700,225263,30483
2018-06-15-22:35,27064,5790,225263,30483
2018-06-15-22:40,27170,6022,225263,30483
2018-06-15-22:45,27232,6199,225263,30483
2018-06-15-22:50,27191,6522,225263,30483
2018-06-15-22:55,27513,7146,225263,30483
2018-06-15-23:00,28157,8039,225263,31482
2018-06-15-23:05,37447,8669,225263,31482
2018-06-15-23:10,37790,9103,225263,31482
2018-06-15-23:15,37981,9404,225263,31482
2018-06-15-23:20,42015,9584,225263,31482
2018-06-15-23:25,42137,9840,225263,31482
2018-06-15-23:30,42239,9935,225263,31482
2018-06-15-23:35,44140,10044,225263,31482
2018-06-15-23:40,44201,10084,225263,31482
2018-06-15-23:45,44202,10162,225263,31482
2018-06-15-23:50,40861,8906,225263,31482
2018-06-15-23:55,40794,8602,225263,31482
2018-06-16-00:00,40932,8801,469819,26225
2018-06-16-00:05,40999,9273,469819,26225
2018-06-16-00:10,41270,9677,469819,26225
2018-06-16-00:15,41395,9852,469819,26225
2018-06-16-00:20,43698,9965,469819,26225
2018-06-16-00:25,43779,10120,469819,26225
2018-06-16-00:30,43848,10203,469819,26225
2018-06-16-00:35,44381,10258,469819,26225
2018-06-16-00:40,44445,10369,469819,26225
2018-06-16-00:45,44544,10540,469819,26225
2018-06-16-00:50,45487,10649,469819,26225
2018-06-16-00:55,44919,10102,469819,26225
2018-06-16-01:00,43363,7541,469819,22240
2018-06-16-01:05,33039,6661,469819,22240
2018-06-16-01:10,32919,6369,469819,22240
2018-06-16-01:15,32920,6350,469819,22240
2018-06-16-01:20,30672,6322,469819,22240
2018-06-16-01:25,30627,6288,469819,22240
2018-06-16-01:30,30688,6498,469819,22240
2018-06-16-01:35,30273,6725,469819,22240
2018-06-16-01:40,30415,7122,469819,22240
2018-06-16-01:45,30557,7556,469819,22240
2018-06-16-01:50,31515,8102,469819,22240
2018-06-16-01:55,31995,9145,469819,22240
2018-06-16-02:00,32809,10349,469819,34552
2018-06-16-02:05,39998,10936,469819,34552
2018-06-16-02:10,40284,11336,469819,34552
2018-06-16-02:15,40398,11598,469819,34552
2018-06-16-02:20,42224,11803,469819,34552
2018-06-16-02:25,42339,12047,469819,34552
2018-06-16-02:30,42366,12187,469819,34552
2018-06-16-02:35,43054,12224,469819,34552
2018-06-16-02:40,43068,12201,469819,34552
2018-06-16-02:45,42517,11520,469819,34552
2018-06-16-02:50,39629,10291,469819,34552
2018-06-16-02:55,39853,9720,469819,34552
2018-06-16-03:00,40265,9802,469819,48248
2018-06-16-03:05,41833,10512,469819,48248
2018-06-16-03:10,42042,11194,469819,48248
2018-06-16-03:15,42150,11803,469819,48248
2018-06-16-03:20,42971,12467,469819,48248
2018-06-16-03:25,43006,12911,469819,48248
2018-06-16-03:30,43028,13224,469819,48248
2018-06-16-03:35,43135,13456,469819,48248
2018-06-16-03:40,43164,13390,469819,48248
2018-06-16-03:45,43210,13365,469819,48248
2018-06-16-03:50,41908,13316,469819,48248
2018-06-16-03:55,39440,7581,469819,48248
2018-06-16-04:00,38637,5093,469819,6503
2018-06-16-04:05,27804,3347,469819,6503
2018-06-16-04:10,27663,2774,469819,6503
2018-06-16-04:15,27579,2371,469819,6503
2018-06-16-04:20,25578,2111,469819,6503
2018-06-16-04:25,25518,1927,469819,6503
2018-06-16-04:30,25490,1839,469819,6503
2018-06-16-04:35,24918,1762,469819,6503
2018-06-16-04:40,24897,1660,469819,6503
2018-06-16-04:45,24874,1586,469819,6503
2018-06-16-04:50,24464,1548,469819,6503
2018-06-16-04:55,24383,1516,469819,6503
2018-06-16-05:00,24352,1421,469819,3383
2018-06-16-05:05,23754,1340,469819,3383
2018-06-16-05:10,23734,1239,469819,3383
2018-06-16-05:15,23721,1199,469819,3383
2018-06-16-05:20,23426,1182,469819,3383
2018-06-16-05:25,23414,1159,469819,3383
2018-06-16-05:30,23401,1129,469819,3383
2018-06-16-05:35,23329,1115,469819,3383
2018-06-16-05:40,23326,1100,469819,3383
2018-06-16-05:45,23326,1085,469819,3383
2018-06-16-05:50,23311,1064,469819,3383
2018-06-16-05:55,23306,1052,469819,3383
2018-06-16-06:00,23298,1051,469819,4146
2018-06-16-06:05,23392,1026,469819,4146
2018-06-16-06:10,23388,1010,469819,4146
2018-06-16-06:15,23355,987,469819,4146
2018-06-16-06:20,22530,973,469819,4146
2018-06-16-06:25,22525,957,469819,4146
2018-06-16-06:30,22515,952,469819,4146
2018-06-16-06:35,22047,932,469819,4146
2018-06-16-06:40,22052,922,469819,4146
2018-06-16-06:45,22046,901,469819,4146
2018-06-16-06:50,21872,894,469819,4146
2018-06-16-06:55,21866,890,469819,4146
2018-06-16-07:00,21868,876,469819,6463
2018-06-16-07:05,21706,861,469819,6463
2018-06-16-07:10,21710,845,469819,6463
2018-06-16-07:15,21703,829,469819,6463
2018-06-16-07:20,21396,804,469819,6463
2018-06-16-07:25,21389,789,469819,6463
2018-06-16-07:30,21380,786,469819,6463
2018-06-16-07:35,20778,769,469819,6463
2018-06-16-07:40,20780,760,469819,6463
2018-06-16-07:45,20774,739,469819,6463
2018-06-16-07:50,20458,730,469819,6463
2018-06-16-07:55,20456,726,469819,6463
2018-06-16-08:00,20448,717,469819,9573
2018-06-16-08:05,19676,700,469819,9573
2018-06-16-08:10,19680,689,469819,9573
2018-06-16-08:15,19684,673,469819,9573
2018-06-16-08:20,19350,670,469819,9573
2018-06-16-08:25,19366,655,469819,9573
2018-06-16-08:30,19361,637,469819,9573
2018-06-16-08:35,18992,629,469819,9573
2018-06-16-08:40,18972,628,469819,9573
2018-06-16-08:45,18981,617,469819,9573
2018-06-16-08:50,18008,614,469819,9573
2018-06-16-08:55,18013,611,469819,9573
2018-06-16-09:00,18020,608,469819,12951
2018-06-16-09:05,17205,741,469819,12951
2018-06-16-09:10,17220,635,469819,12951
2018-06-16-09:15,17225,586,469819,12951
2018-06-16-09:20,17104,569,469819,12951
2018-06-16-09:25,17119,557,469819,12951
2018-06-16-09:30,17176,537,469819,12951
2018-06-16-09:35,17248,520,469819,12951
2018-06-16-09:40,17324,511,469819,12951
2018-06-16-09:45,17380,506,469819,12951
2018-06-16-09:50,19404,508,469819,12951
2018-06-16-09:55,19419,488,469819,12951
2018-06-16-10:00,19453,486,469819,12736
2018-06-16-10:05,20556,477,469819,12736
2018-06-16-10:10,20580,474,469819,12736
2018-06-16-10:15,20583,451,469819,12736
2018-06-16-10:20,20850,429,469819,12736
2018-06-16-10:25,20861,413,469819,12736
2018-06-16-10:30,20736,402,469819,12736
2018-06-16-10:35,19331,401,469819,12736
2018-06-16-10:40,19342,396,469819,12736
2018-06-16-10:45,19394,391,469819,12736
2018-06-16-10:50,20530,437,469819,12736
2018-06-16-10:55,20545,529,469819,12736
2018-06-16-11:00,20537,616,469819,12107
2018-06-16-11:05,20971,645,469819,12107
2018-06-16-11:10,20975,711,469819,12107
2018-06-16-11:15,21003,823,469819,12107
2018-06-16-11:20,21497,905,469819,12107
2018-06-16-11:25,21519,1014,469819,12107
2018-06-16-11:30,16317,959,469819,12107
2018-06-16-11:35,16138,926,469819,12107
2018-06-16-11:40,16011,827,469819,12107
2018-06-16-11:45,4335,826,469819,12107
2018-06-16-11:50,4308,831,469819,12107
2018-06-16-11:55,4288,794,469819,12107
2018-06-16-12:00,2125,788,469819,10572
2018-06-16-12:05,2095,815,469819,10572
2018-06-16-12:10,2085,780,469819,10572
2018-06-16-12:15,878,759,469819,10572
2018-06-16-12:20,874,768,469819,10572
2018-06-16-12:25,865,777,469819,10572
2018-06-16-12:30,3112,791,469819,10572
2018-06-16-12:35,3115,790,469819,10572
2018-06-16-12:40,3121,795,469819,10572
2018-06-16-12:45,3118,771,469819,10572
2018-06-16-12:50,3120,703,469819,10572
2018-06-16-12:55,3118,712,469819,10572
2018-06-16-13:00,3109,710,469819,8628
2018-06-16-13:05,3105,714,469819,8628
2018-06-16-13:10,3115,703,469819,8628
2018-06-16-13:15,3108,722,469819,8628
2018-06-16-13:20,3113,718,469819,8628
2018-06-16-13:25,3122,740,469819,8628
2018-06-16-13:30,3119,765,469819,8628
2018-06-16-13:35,3131,789,469819,8628
2018-06-16-13:40,3137,800,469819,8628
2018-06-16-13:45,3143,807,469819,8628
2018-06-16-13:50,3160,845,469819,8628
2018-06-16-13:55,3172,892,469819,8628
2018-06-16-14:00,3171,913,469819,7339
2018-06-16-14:05,3139,875,469819,7339
2018-06-16-14:10,3118,843,469819,7339
2018-06-16-14:15,3127,835,469819,7339
2018-06-16-14:20,3135,847,469819,7339
2018-06-16-14:25,3118,843,469819,7339
2018-06-16-14:30,3125,858,469819,7339
2018-06-16-14:35,3143,897,469819,7339
2018-06-16-14:40,3159,931,469819,7339
2018-06-16-14:45,3178,971,469819,7339
2018-06-16-14:50,3208,1009,469819,7339
2018-06-16-14:55,3215,1032,469819,7339
2018-06-16-15:00,3225,1091,469819,6578
2018-06-16-15:05,3250,1105,469819,6578
2018-06-16-15:10,3269,1137,469819,6578
2018-06-16-15:15,3285,1155,469819,6578
2018-06-16-15:20,3298,1201,469819,6578
2018-06-16-15:25,3309,1218,469819,6578
2018-06-16-15:30,3269,1158,469819,6578
2018-06-16-15:35,3276,1202,469819,6578
2018-06-16-15:40,3274,1214,469819,6578
2018-06-16-15:45,3292,1266,469819,6578
2018-06-16-15:50,3315,1309,469819,6578
2018-06-16-15:55,3353,1338,469819,6578
2018-06-16-16:00,3351,1375,469819,7312
2018-06-16-16:05,3363,1423,469819,7312
2018-06-16-16:10,3359,1444,469819,7312
2018-06-16-16:15,3379,1496,469819,7312
2018-06-16-16:20,3411,1534,469819,7312
2018-06-16-16:25,3433,1581,469819,7312
2018-06-16-16:30,3375,1523,469819,7312
2018-06-16-16:35,3298,1396,469819,7312
2018-06-16-16:40,3239,1303,469819,7312
2018-06-16-16:45,3227,1327,469819,7312
2018-06-16-16:50,3239,1359,469819,7312
2018-06-16-16:55,3231,1406,469819,7312
2018-06-16-17:00,3247,1471,469819,14852
2018-06-16-17:05,3280,1531,469819,14852
2018-06-16-17:10,3312,1665,469819,14852
2018-06-16-17:15,3313,1819,469819,14852
2018-06-16-17:20,3350,2019,469819,14852
2018-06-16-17:25,3393,2233,469819,14852
2018-06-16-17:30,3493,2583,469819,14852
2018-06-16-17:35,3642,2948,469819,14852
2018-06-16-17:40,3803,3342,469819,14852
2018-06-16-17:45,3950,3789,469819,14852
2018-06-16-17:50,4148,4477,469819,14852
2018-06-16-17:55,4602,5577,469819,14852
2018-06-16-18:00,5476,7099,469819,25847
2018-06-16-18:05,6144,8165,469819,25847
2018-06-16-18:10,6530,8778,469819,25847
2018-06-16-18:15,6820,9284,469819,25847
2018-06-16-18:20,6996,9658,469819,25847
2018-06-16-18:25,7117,9903,469819,25847
2018-06-16-18:30,7226,10109,469819,25847
2018-06-16-18:35,7337,10354,469819,25847
2018-06-16-18:40,7449,10591,469819,25847
2018-06-16-18:45,6783,9976,469819,25847
2018-06-16-18:50,6057,8772,469819,25847
2018-06-16-18:55,6267,9116,469819,25847
2018-06-16-19:00,6744,9770,469819,22248
2018-06-16-19:05,7216,10445,469819,22248
2018-06-16-19:10,7318,10085,469819,22248
2018-06-16-19:15,6861,8873,469819,22248
2018-06-16-19:20,6361,7901,469819,22248
2018-06-16-19:25,3953,3201,469819,22248
2018-06-16-19:30,3484,1397,469819,22248
2018-06-16-19:35,2963,1,469819,22248
2018-06-16-19:40,2963,19,469819,22248
2018-06-16-19:45,2963,196,469819,22248
2018-06-16-19:50,2963,2,469819,22248
2018-06-16-19:55,2963,19,469819,22248
2018-06-16-20:00,2963,177,469819,20794
2018-06-16-20:05,2963,89,469819,20794
2018-06-16-20:10,13616,340,469819,20794
2018-06-16-20:15,13701,530,469819,20794
2018-06-16-20:20,13845,1463,469819,20794
2018-06-16-20:25,27702,3037,469819,20794
2018-06-16-20:30,28000,4217,469819,20794
2018-06-16-20:35,28682,6212,469819,20794
2018-06-16-20:40,31063,6200,469819,20794
2018-06-16-20:45,31284,6997,469819,20794
2018-06-16-20:50,31574,7753,469819,20794
2018-06-16-20:55,32278,9085,469819,20794
2018-06-16-21:00,50216,9948,469819,42333
2018-06-16-21:05,49225,7115,469819,42333
2018-06-16-21:10,47371,2622,469819,42333
2018-06-16-21:15,53406,249,469819,42333
2018-06-16-21:20,53385,2,469819,42333
2018-06-16-21:25,53385,2,469819,42333
2018-06-16-21:30,57783,0,469819,42333
2018-06-16-21:35,57783,0,469819,42333
2018-06-16-21:40,57783,0,469819,42333
2018-06-16-21:45,55630,0,469819,42333
2018-06-16-21:50,55630,0,469819,42333
2018-06-16-21:55,55630,0,469819,42333
2018-06-16-22:00,59994,0,469819,29230
2018-06-16-22:05,59994,0,469819,29230
2018-06-16-22:10,59994,0,469819,29230
2018-06-16-22:15,66935,0,469819,29230
2018-06-16-22:20,66935,0,469819,29230
2018-06-16-22:25,66935,0,469819,29230
2018-06-16-22:30,70910,0,469819,29230
2018-06-16-22:35,70910,0,469819,29230
2018-06-16-22:40,70910,0,469819,29230
2018-06-16-22:45,74264,0,469819,29230
2018-06-16-22:50,74264,0,469819,29230
2018-06-16-22:55,74264,0,469819,29230
2018-06-16-23:00,44549,0,469819,16325
2018-06-16-23:05,44549,0,469819,16325
2018-06-16-23:10,44549,0,469819,16325
2018-06-16-23:15,35184,0,469819,16325
2018-06-16-23:20,35184,0,469819,16325
2018-06-16-23:25,35184,0,469819,16325
2018-06-16-23:30,32583,0,469819,16325
2018-06-16-23:35,32583,0,469819,16325
2018-06-16-23:40,32583,0,469819,16325
2018-06-16-23:45,32531,0,469819,16325
2018-06-16-23:50,32531,0,469819,16325
2018-06-16-23:55,32531,0,469819,16325
2018-06-17-00:00,39274,0,423820,17668
2018-06-17-00:05,39274,0,423820,17668
2018-06-17-00:10,39274,0,423820,17668
2018-06-17-00:15,42064,0,423820,17668
2018-06-17-00:20,42064,0,423820,17668
2018-06-17-00:25,42064,0,423820,17668
2018-06-17-00:30,42316,0,423820,17668
2018-06-17-00:35,42316,0,423820,17668
2018-06-17-00:40,42316,0,423820,17668
2018-06-17-00:45,40154,0,423820,17668
2018-06-17-00:50,40154,0,423820,17668
2018-06-17-00:55,40154,0,423820,17668
2018-06-17-01:00,39124,0,423820,9142
2018-06-17-01:05,39124,0,423820,9142
2018-06-17-01:10,39124,0,423820,9142
2018-06-17-01:15,40465,0,423820,9142
2018-06-17-01:20,40465,0,423820,9142
2018-06-17-01:25,40465,0,423820,9142
2018-06-17-01:30,40863,0,423820,9142
2018-06-17-01:35,40863,0,423820,9142
2018-06-17-01:40,40863,0,423820,9142
2018-06-17-01:45,40837,0,423820,9142
2018-06-17-01:50,40837,0,423820,9142
2018-06-17-01:55,40837,0,423820,9142
2018-06-17-02:00,31223,0,423820,4539
2018-06-17-02:05,31223,0,423820,4539
2018-06-17-02:10,31223,0,423820,4539
2018-06-17-02:15,29340,0,423820,4539
2018-06-17-02:20,29340,0,423820,4539
2018-06-17-02:25,29340,0,423820,4539
2018-06-17-02:30,28275,0,423820,4539
2018-06-17-02:35,28275,0,423820,4539
2018-06-17-02:40,28275,0,423820,4539
2018-06-17-02:45,27882,0,423820,4539
2018-06-17-02:50,27882,0,423820,4539
2018-06-17-02:55,27882,0,423820,4539
2018-06-17-03:00,29038,0,423820,3886
2018-06-17-03:05,29038,0,423820,3886
2018-06-17-03:10,29038,0,423820,3886
2018-06-17-03:15,29168,0,423820,3886
2018-06-17-03:20,29168,0,423820,3886
2018-06-17-03:25,29168,0,423820,3886
2018-06-17-03:30,29111,0,423820,3886
2018-06-17-03:35,29111,0,423820,3886
2018-06-17-03:40,29111,0,423820,3886
2018-06-17-03:45,28383,0,423820,3886
2018-06-17-03:50,28383,0,423820,3886
2018-06-17-03:55,28383,0,423820,3886
2018-06-17-04:00,28176,0,423820,2050
2018-06-17-04:05,28176,0,423820,2050
2018-06-17-04:10,28176,0,423820,2050
2018-06-17-04:15,28178,0,423820,2050
2018-06-17-04:20,28178,0,423820,2050
2018-06-17-04:25,28178,0,423820,2050
2018-06-17-04:30,28014,0,423820,2050
2018-06-17-04:35,28014,0,423820,2050
2018-06-17-04:40,28014,0,423820,2050
2018-06-17-04:45,27598,0,423820,2050
2018-06-17-04:50,27598,0,423820,2050
2018-06-17-04:55,27598,0,423820,2050
2018-06-17-05:00,25997,0,423820,1175
2018-06-17-05:05,25997,0,423820,1175
2018-06-17-05:10,25997,0,423820,1175
2018-06-17-05:15,25561,0,423820,1175
2018-06-17-05:20,25561,0,423820,1175
2018-06-17-05:25,25561,0,423820,1175
2018-06-17-05:30,25112,0,423820,1175
2018-06-17-05:35,25112,0,423820,1175
2018-06-17-05:40,25112,0,423820,1175
2018-06-17-05:45,24806,0,423820,1175
2018-06-17-05:50,24806,0,423820,1175
2018-06-17-05:55,24806,0,423820,1175
2018-06-17-06:00,24043,0,423820,1431
2018-06-17-06:05,24043,0,423820,1431
2018-06-17-06:10,24043,0,423820,1431
2018-06-17-06:15,23593,0,423820,1431
2018-06-17-06:20,23661,190,423820,1431
2018-06-17-06:25,23628,116,423820,1431
2018-06-17-06:30,23558,424,423820,1431
2018-06-17-06:35,23706,1049,423820,1431
2018-06-17-06:40,23707,1107,423820,1431
2018-06-17-06:45,23333,1103,423820,1431
2018-06-17-06:50,23327,1089,423820,1431
2018-06-17-06:55,23327,1088,423820,1431
2018-06-17-07:00,22770,1069,423820,2204
2018-06-17-07:05,22760,1045,423820,2204
2018-06-17-07:10,22752,1033,423820,2204
2018-06-17-07:15,22411,1025,423820,2204
2018-06-17-07:20,22408,1015,423820,2204
2018-06-17-07:25,22412,1003,423820,2204
2018-06-17-07:30,22216,975,423820,2204
2018-06-17-07:35,22219,981,423820,2204
2018-06-17-07:40,22212,969,423820,2204
2018-06-17-07:45,22125,960,423820,2204
2018-06-17-07:50,22128,963,423820,2204
2018-06-17-07:55,22125,961,423820,2204
2018-06-17-08:00,21998,959,423820,3224
2018-06-17-08:05,21990,929,423820,3224
2018-06-17-08:10,21971,907,423820,3224
2018-06-17-08:15,20581,881,423820,3224
2018-06-17-08:20,20578,860,423820,3224
2018-06-17-08:25,20588,860,423820,3224
2018-06-17-08:30,20479,839,423820,3224
2018-06-17-08:35,20488,846,423820,3224
2018-06-17-08:40,20478,834,423820,3224
2018-06-17-08:45,19624,832,423820,3224
2018-06-17-08:50,19611,805,423820,3224
2018-06-17-08:55,19600,789,423820,3224
