Date,Hami_Video
2018-06-16-16:10,1444
2018-06-16-16:15,1496
2018-06-16-16:20,1534
2018-06-16-16:25,1581
2018-06-16-16:30,1523
2018-06-16-16:35,1396
2018-06-16-16:40,1303
2018-06-16-16:45,1327
2018-06-16-16:50,1359
2018-06-16-16:55,1406
2018-06-16-17:00,1471
2018-06-16-17:05,1531
2018-06-16-17:10,1665
2018-06-16-17:15,1819
2018-06-16-17:20,2019
2018-06-16-17:25,2233
2018-06-16-17:30,2583
2018-06-16-17:35,2948
2018-06-16-17:40,3342
2018-06-16-17:45,3789
2018-06-16-17:50,4477
2018-06-16-17:55,5577
2018-06-16-18:00,7099
2018-06-16-18:05,8165
2018-06-16-18:10,8778
2018-06-16-18:15,9284
2018-06-16-18:20,9658
2018-06-16-18:25,9903
2018-06-16-18:30,10109
2018-06-16-18:35,10354
2018-06-16-18:40,10591
2018-06-16-18:45,9976
2018-06-16-18:50,8772
2018-06-16-18:55,9116
2018-06-16-19:00,9770
2018-06-16-19:05,10445
2018-06-16-19:10,10085
2018-06-16-19:15,8873
2018-06-16-19:20,7901
2018-06-16-19:25,3201
2018-06-16-19:30,1397
2018-06-16-19:35,1
2018-06-16-19:40,19
2018-06-16-19:45,196
2018-06-16-19:50,2
2018-06-16-19:55,19
2018-06-16-20:00,177
2018-06-16-20:05,89
2018-06-16-20:10,340
2018-06-16-20:15,530
2018-06-16-20:20,1463
2018-06-16-20:25,3037
2018-06-16-20:30,4217
2018-06-16-20:35,6212
2018-06-16-20:40,6200
2018-06-16-20:45,6997
2018-06-16-20:50,7753
2018-06-16-20:55,9085
2018-06-16-21:00,9948
2018-06-16-21:05,7115
2018-06-16-21:10,2622
2018-06-16-21:15,249
2018-06-16-21:20,2
2018-06-16-21:25,2
2018-06-16-21:30,0
2018-06-16-21:35,0
2018-06-16-21:40,0
2018-06-16-21:45,0
2018-06-16-21:50,0
2018-06-16-21:55,0
2018-06-16-22:00,0
2018-06-16-22:05,0
2018-06-16-22:10,0
2018-06-16-22:15,0
2018-06-16-22:20,0
2018-06-16-22:25,0
2018-06-16-22:30,0
2018-06-16-22:35,0
2018-06-16-22:40,0
2018-06-16-22:45,0
2018-06-16-22:50,0
2018-06-16-22:55,0
2018-06-16-23:00,0
2018-06-16-23:05,0
2018-06-16-23:10,0
2018-06-16-23:15,0
2018-06-16-23:20,0
2018-06-16-23:25,0
2018-06-16-23:30,0
2018-06-16-23:35,0
2018-06-16-23:40,0
2018-06-16-23:45,0
2018-06-16-23:50,0
2018-06-16-23:55,0
2018-06-17-00:00,0
2018-06-17-00:05,0
2018-06-17-00:10,0
2018-06-17-00:15,0
2018-06-17-00:20,0
2018-06-17-00:25,0
2018-06-17-00:30,0
2018-06-17-00:35,0
2018-06-17-00:40,0
2018-06-17-00:45,0
2018-06-17-00:50,0
2018-06-17-00:55,0
2018-06-17-01:00,0
2018-06-17-01:05,0
2018-06-17-01:10,0
2018-06-17-01:15,0
2018-06-17-01:20,0
2018-06-17-01:25,0
2018-06-17-01:30,0
2018-06-17-01:35,0
2018-06-17-01:40,0
2018-06-17-01:45,0
2018-06-17-01:50,0
2018-06-17-01:55,0
2018-06-17-02:00,0
2018-06-17-02:05,0
2018-06-17-02:10,0
2018-06-17-02:15,0
2018-06-17-02:20,0
2018-06-17-02:25,0
2018-06-17-02:30,0
2018-06-17-02:35,0
2018-06-17-02:40,0
2018-06-17-02:45,0
2018-06-17-02:50,0
2018-06-17-02:55,0
2018-06-17-03:00,0
2018-06-17-03:05,0
2018-06-17-03:10,0
2018-06-17-03:15,0
2018-06-17-03:20,0
2018-06-17-03:25,0
2018-06-17-03:30,0
2018-06-17-03:35,0
2018-06-17-03:40,0
2018-06-17-03:45,0
2018-06-17-03:50,0
2018-06-17-03:55,0
2018-06-17-04:00,0
2018-06-17-04:05,0
2018-06-17-04:10,0
2018-06-17-04:15,0
2018-06-17-04:20,0
2018-06-17-04:25,0
2018-06-17-04:30,0
2018-06-17-04:35,0
2018-06-17-04:40,0
2018-06-17-04:45,0
2018-06-17-04:50,0
2018-06-17-04:55,0
2018-06-17-05:00,0
2018-06-17-05:05,0
2018-06-17-05:10,0
2018-06-17-05:15,0
2018-06-17-05:20,0
2018-06-17-05:25,0
2018-06-17-05:30,0
2018-06-17-05:35,0
2018-06-17-05:40,0
2018-06-17-05:45,0
2018-06-17-05:50,0
2018-06-17-05:55,0
2018-06-17-06:00,0
2018-06-17-06:05,0
2018-06-17-06:10,0
2018-06-17-06:15,0
2018-06-17-06:20,190
2018-06-17-06:25,116
2018-06-17-06:30,424
2018-06-17-06:35,1049
2018-06-17-06:40,1107
2018-06-17-06:45,1103
2018-06-17-06:50,1089
2018-06-17-06:55,1088
2018-06-17-07:00,1069
2018-06-17-07:05,1045
2018-06-17-07:10,1033
2018-06-17-07:15,1025
2018-06-17-07:20,1015
2018-06-17-07:25,1003
2018-06-17-07:30,975
2018-06-17-07:35,981
2018-06-17-07:40,969
2018-06-17-07:45,960
2018-06-17-07:50,963
2018-06-17-07:55,961
2018-06-17-08:00,959
2018-06-17-08:05,929
2018-06-17-08:10,907
2018-06-17-08:15,881
2018-06-17-08:20,860
2018-06-17-08:25,860
2018-06-17-08:30,839
2018-06-17-08:35,846
2018-06-17-08:40,834
2018-06-17-08:45,832
2018-06-17-08:50,805
2018-06-17-08:55,789
2018-06-17-09:00,784
2018-06-17-09:05,787
2018-06-17-09:10,792
2018-06-17-09:15,820
2018-06-17-09:20,806
2018-06-17-09:25,804
2018-06-17-09:30,801
2018-06-17-09:35,801
2018-06-17-09:40,780
2018-06-17-09:45,796
2018-06-17-09:50,787
2018-06-17-09:55,805
2018-06-17-10:00,813
2018-06-17-10:05,805
2018-06-17-10:10,807
2018-06-17-10:15,815
2018-06-17-10:20,834
2018-06-17-10:25,818
2018-06-17-10:30,820
2018-06-17-10:35,811
2018-06-17-10:40,822
2018-06-17-10:45,834
2018-06-17-10:50,833
2018-06-17-10:55,828
2018-06-17-11:00,833
2018-06-17-11:05,834
2018-06-17-11:10,842
2018-06-17-11:15,840
2018-06-17-11:20,824
2018-06-17-11:25,830
2018-06-17-11:30,817
2018-06-17-11:35,775
2018-06-17-11:40,776
2018-06-17-11:45,804
2018-06-17-11:50,802
2018-06-17-11:55,768
2018-06-17-12:00,753
2018-06-17-12:05,745
2018-06-17-12:10,751
2018-06-17-12:15,763
2018-06-17-12:20,764
2018-06-17-12:25,756
2018-06-17-12:30,767
2018-06-17-12:35,803
2018-06-17-12:40,799
2018-06-17-12:45,802
2018-06-17-12:50,790
2018-06-17-12:55,795
2018-06-17-13:00,786
2018-06-17-13:05,772
2018-06-17-13:10,799
2018-06-17-13:15,792
2018-06-17-13:20,814
2018-06-17-13:25,868
2018-06-17-13:30,892
2018-06-17-13:35,875
2018-06-17-13:40,874
2018-06-17-13:45,881
2018-06-17-13:50,876
2018-06-17-13:55,879
2018-06-17-14:00,888
2018-06-17-14:05,873
2018-06-17-14:10,799
2018-06-17-14:15,757
2018-06-17-14:20,769
2018-06-17-14:25,762
2018-06-17-14:30,759
2018-06-17-14:35,757
2018-06-17-14:40,758
2018-06-17-14:45,775
2018-06-17-14:50,774
2018-06-17-14:55,770
2018-06-17-15:00,795
2018-06-17-15:05,792
2018-06-17-15:10,800
2018-06-17-15:15,816
2018-06-17-15:20,809
2018-06-17-15:25,827
2018-06-17-15:30,818
2018-06-17-15:35,806
2018-06-17-15:40,808
2018-06-17-15:45,843
2018-06-17-15:50,852
2018-06-17-15:55,865
2018-06-17-16:00,871
2018-06-17-16:05,884
2018-06-17-16:10,896
2018-06-17-16:15,884
2018-06-17-16:20,864
2018-06-17-16:25,859
2018-06-17-16:30,872
2018-06-17-16:35,884
2018-06-17-16:40,846
2018-06-17-16:45,868
2018-06-17-16:50,887
2018-06-17-16:55,922
2018-06-17-17:00,941
2018-06-17-17:05,964
2018-06-17-17:10,991
2018-06-17-17:15,1044
2018-06-17-17:20,1059
2018-06-17-17:25,1069
2018-06-17-17:30,1092
2018-06-17-17:35,1134
2018-06-17-17:40,1187
2018-06-17-17:45,1181
2018-06-17-17:50,1210
2018-06-17-17:55,1234
2018-06-17-18:00,1246
2018-06-17-18:05,1241
2018-06-17-18:10,1253
2018-06-17-18:15,1280
2018-06-17-18:20,1355
2018-06-17-18:25,1413
2018-06-17-18:30,1427
2018-06-17-18:35,1462
2018-06-17-18:40,1506
2018-06-17-18:45,1550
2018-06-17-18:50,1573
2018-06-17-18:55,1613
2018-06-17-19:00,1675
2018-06-17-19:05,1652
2018-06-17-19:10,1704
2018-06-17-19:15,1787
2018-06-17-19:20,1926
2018-06-17-19:25,2118
2018-06-17-19:30,2417
2018-06-17-19:35,2733
2018-06-17-19:40,3117
2018-06-17-19:45,3603
2018-06-17-19:50,4245
2018-06-17-19:55,5264
2018-06-17-20:00,6760
2018-06-17-20:05,7744
2018-06-17-20:10,8326
2018-06-17-20:15,8836
2018-06-17-20:20,9203
2018-06-17-20:25,9455
2018-06-17-20:30,9692
2018-06-17-20:35,9950
2018-06-17-20:40,10173
2018-06-17-20:45,9954
2018-06-17-20:50,8727
2018-06-17-20:55,8939
2018-06-17-21:00,9474
2018-06-17-21:05,10222
2018-06-17-21:10,10824
2018-06-17-21:15,11319
2018-06-17-21:20,11537
2018-06-17-21:25,11673
2018-06-17-21:30,11853
2018-06-17-21:35,12140
2018-06-17-21:40,12286
2018-06-17-21:45,12451
2018-06-17-21:50,12776
2018-06-17-21:55,10458
2018-06-17-22:00,8169
2018-06-17-22:05,7534
2018-06-17-22:10,7492
2018-06-17-22:15,7459
2018-06-17-22:20,7573
2018-06-17-22:25,7510
2018-06-17-22:30,7588
2018-06-17-22:35,7950
2018-06-17-22:40,8060
2018-06-17-22:45,8486
2018-06-17-22:50,9232
2018-06-17-22:55,10826
2018-06-17-23:00,12850
2018-06-17-23:05,14114
2018-06-17-23:10,14712
2018-06-17-23:15,15030
2018-06-17-23:20,15297
2018-06-17-23:25,15469
2018-06-17-23:30,15548
2018-06-17-23:35,15701
2018-06-17-23:40,15882
2018-06-17-23:45,14064
2018-06-17-23:50,6553
2018-06-17-23:55,2104
2018-06-18-00:00,2104
2018-06-18-00:05,0
2018-06-18-00:10,0
2018-06-18-00:15,0
2018-06-18-00:20,0
2018-06-18-00:25,0
2018-06-18-00:30,0
2018-06-18-00:35,0
2018-06-18-00:40,0
2018-06-18-00:45,0
2018-06-18-00:50,1685
2018-06-18-00:55,408
2018-06-18-01:00,457
2018-06-18-01:05,738
2018-06-18-01:10,1470
2018-06-18-01:15,2616
2018-06-18-01:20,5131
2018-06-18-01:25,5641
2018-06-18-01:30,5662
2018-06-18-01:35,5749
2018-06-18-01:40,6294
2018-06-18-01:45,6694
2018-06-18-01:50,7282
2018-06-18-01:55,8403
2018-06-18-02:00,9630
2018-06-18-02:05,10148
2018-06-18-02:10,10534
2018-06-18-02:15,10796
2018-06-18-02:20,10938
2018-06-18-02:25,11027
2018-06-18-02:30,11001
2018-06-18-02:35,10949
2018-06-18-02:40,10907
2018-06-18-02:45,10492
2018-06-18-02:50,8521
2018-06-18-02:55,8528
2018-06-18-03:00,8980
2018-06-18-03:05,9579
2018-06-18-03:10,9837
2018-06-18-03:15,9997
2018-06-18-03:20,10046
2018-06-18-03:25,10026
2018-06-18-03:30,10023
2018-06-18-03:35,10038
2018-06-18-03:40,10048
2018-06-18-03:45,10102
2018-06-18-03:50,10091
2018-06-18-03:55,6594
2018-06-18-04:00,3682
2018-06-18-04:05,2797
2018-06-18-04:10,2487
2018-06-18-04:15,2299
2018-06-18-04:20,2151
2018-06-18-04:25,2006
2018-06-18-04:30,1919
2018-06-18-04:35,1831
2018-06-18-04:40,1741
2018-06-18-04:45,1694
2018-06-18-04:50,1633
2018-06-18-04:55,1582
2018-06-18-05:00,1539
2018-06-18-05:05,1490
2018-06-18-05:10,1451
2018-06-18-05:15,1431
2018-06-18-05:20,1396
2018-06-18-05:25,1367
2018-06-18-05:30,1345
2018-06-18-05:35,1311
2018-06-18-05:40,1285
2018-06-18-05:45,1277
2018-06-18-05:50,1254
2018-06-18-05:55,1231
2018-06-18-06:00,1215
2018-06-18-06:05,1203
2018-06-18-06:10,1178
2018-06-18-06:15,1146
2018-06-18-06:20,1128
2018-06-18-06:25,1108
2018-06-18-06:30,1088
2018-06-18-06:35,1077
2018-06-18-06:40,1084
2018-06-18-06:45,1069
2018-06-18-06:50,1067
2018-06-18-06:55,1076
2018-06-18-07:00,1077
2018-06-18-07:05,1056
2018-06-18-07:10,1067
2018-06-18-07:15,1046
2018-06-18-07:20,1035
2018-06-18-07:25,1023
2018-06-18-07:30,1004
2018-06-18-07:35,1000
2018-06-18-07:40,980
2018-06-18-07:45,979
2018-06-18-07:50,1000
2018-06-18-07:55,1004
2018-06-18-08:00,993
2018-06-18-08:05,986
2018-06-18-08:10,990
2018-06-18-08:15,991
2018-06-18-08:20,990
2018-06-18-08:25,996
2018-06-18-08:30,1002
2018-06-18-08:35,945
2018-06-18-08:40,926
2018-06-18-08:45,880
2018-06-18-08:50,867
2018-06-18-08:55,899
2018-06-18-09:00,916
2018-06-18-09:05,896
2018-06-18-09:10,902
2018-06-18-09:15,913
2018-06-18-09:20,905
2018-06-18-09:25,934
2018-06-18-09:30,963
2018-06-18-09:35,1008
2018-06-18-09:40,1009
2018-06-18-09:45,1016
2018-06-18-09:50,1036
2018-06-18-09:55,1096
2018-06-18-10:00,1085
2018-06-18-10:05,1086
2018-06-18-10:10,1019
2018-06-18-10:15,962
2018-06-18-10:20,921
2018-06-18-10:25,879
2018-06-18-10:30,820
2018-06-18-10:35,777
2018-06-18-10:40,754
2018-06-18-10:45,750
2018-06-18-10:50,726
2018-06-18-10:55,898
2018-06-18-11:00,962
2018-06-18-11:05,994
2018-06-18-11:10,1026
2018-06-18-11:15,1069
2018-06-18-11:20,1060
2018-06-18-11:25,1072
2018-06-18-11:30,1095
2018-06-18-11:35,1043
2018-06-18-11:40,891
2018-06-18-11:45,807
2018-06-18-11:50,779
2018-06-18-11:55,774
2018-06-18-12:00,767
2018-06-18-12:05,745
2018-06-18-12:10,741
2018-06-18-12:15,745
2018-06-18-12:20,751
2018-06-18-12:25,766
2018-06-18-12:30,762
2018-06-18-12:35,751
2018-06-18-12:40,745
2018-06-18-12:45,724
2018-06-18-12:50,740
2018-06-18-12:55,752
2018-06-18-13:00,724
2018-06-18-13:05,711
2018-06-18-13:10,709
2018-06-18-13:15,707
2018-06-18-13:20,709
2018-06-18-13:25,705
2018-06-18-13:30,703
2018-06-18-13:35,712
2018-06-18-13:40,736
2018-06-18-13:45,742
2018-06-18-13:50,728
2018-06-18-13:55,744
2018-06-18-14:00,763
2018-06-18-14:05,760
2018-06-18-14:10,737
2018-06-18-14:15,715
2018-06-18-14:20,742
2018-06-18-14:25,736
2018-06-18-14:30,733
2018-06-18-14:35,731
2018-06-18-14:40,756
2018-06-18-14:45,759
2018-06-18-14:50,776
2018-06-18-14:55,781
2018-06-18-15:00,795
2018-06-18-15:05,802
2018-06-18-15:10,810
2018-06-18-15:15,817
2018-06-18-15:20,795
2018-06-18-15:25,783
2018-06-18-15:30,775
2018-06-18-15:35,767
2018-06-18-15:40,787
2018-06-18-15:45,784
2018-06-18-15:50,791
2018-06-18-15:55,794
2018-06-18-16:00,803
2018-06-18-16:05,810
2018-06-18-16:10,830
2018-06-18-16:15,838
2018-06-18-16:20,857
2018-06-18-16:25,884
2018-06-18-16:30,903
2018-06-18-16:35,922
2018-06-18-16:40,909
2018-06-18-16:45,919
2018-06-18-16:50,926
2018-06-18-16:55,932
2018-06-18-17:00,970
2018-06-18-17:05,993
2018-06-18-17:10,1033
2018-06-18-17:15,1069
2018-06-18-17:20,1108
2018-06-18-17:25,1123
2018-06-18-17:30,1114
2018-06-18-17:35,1136
2018-06-18-17:40,1175
2018-06-18-17:45,1191
2018-06-18-17:50,1255
2018-06-18-17:55,1280
2018-06-18-18:00,1312
2018-06-18-18:05,1334
2018-06-18-18:10,1371
2018-06-18-18:15,1388
2018-06-18-18:20,1442
2018-06-18-18:25,1475
2018-06-18-18:30,1506
2018-06-18-18:35,1534
2018-06-18-18:40,1602
2018-06-18-18:45,1682
2018-06-18-18:50,1742
2018-06-18-18:55,1838
2018-06-18-19:00,1964
2018-06-18-19:05,2053
2018-06-18-19:10,2146
2018-06-18-19:15,2290
2018-06-18-19:20,2548
2018-06-18-19:25,2937
2018-06-18-19:30,3383
2018-06-18-19:35,3913
2018-06-18-19:40,4613
2018-06-18-19:45,5363
2018-06-18-19:50,6489
2018-06-18-19:55,8271
2018-06-18-20:00,10701
2018-06-18-20:05,12289
2018-06-18-20:10,13165
2018-06-18-20:15,13844
2018-06-18-20:20,14389
2018-06-18-20:25,14839
2018-06-18-20:30,15244
2018-06-18-20:35,15493
2018-06-18-20:40,15803
2018-06-18-20:45,15496
2018-06-18-20:50,13089
2018-06-18-20:55,13289
2018-06-18-21:00,14097
2018-06-18-21:05,15375
2018-06-18-21:10,16235
2018-06-18-21:15,16808
2018-06-18-21:20,17300
2018-06-18-21:25,17364
2018-06-18-21:30,17397
2018-06-18-21:35,17628
2018-06-18-21:40,17796
2018-06-18-21:45,17482
2018-06-18-21:50,3529
2018-06-18-21:55,716
2018-06-18-22:00,175
2018-06-18-22:05,175
2018-06-18-22:10,0
2018-06-18-22:15,0
2018-06-18-22:20,0
2018-06-18-22:25,0
2018-06-18-22:30,0
2018-06-18-22:35,0
2018-06-18-22:40,0
2018-06-18-22:45,0
2018-06-18-22:50,0
2018-06-18-22:55,0
2018-06-18-23:00,0
2018-06-18-23:05,75
2018-06-18-23:10,471
2018-06-18-23:15,510
2018-06-18-23:20,2303
2018-06-18-23:25,3936
2018-06-18-23:30,2315
2018-06-18-23:35,2898
2018-06-18-23:40,4925
2018-06-18-23:45,7051
2018-06-18-23:50,10712
2018-06-18-23:55,11312
2018-06-19-00:00,11736
2018-06-19-00:05,12470
2018-06-19-00:10,13079
2018-06-19-00:15,13286
2018-06-19-00:20,13262
2018-06-19-00:25,13228
2018-06-19-00:30,12733
2018-06-19-00:35,12474
2018-06-19-00:40,12291
2018-06-19-00:45,11992
2018-06-19-00:50,11569
2018-06-19-00:55,7401
2018-06-19-01:00,5819
2018-06-19-01:05,5148
2018-06-19-01:10,4934
2018-06-19-01:15,4679
2018-06-19-01:20,4510
2018-06-19-01:25,4361
2018-06-19-01:30,4301
2018-06-19-01:35,4278
2018-06-19-01:40,4331
2018-06-19-01:45,4370
2018-06-19-01:50,4553
2018-06-19-01:55,4958
2018-06-19-02:00,5509
2018-06-19-02:05,5744
2018-06-19-02:10,5972
2018-06-19-02:15,6212
2018-06-19-02:20,6292
2018-06-19-02:25,6344
2018-06-19-02:30,6370
2018-06-19-02:35,6421
2018-06-19-02:40,6481
2018-06-19-02:45,6483
2018-06-19-02:50,5230
2018-06-19-02:55,5127
2018-06-19-03:00,5270
2018-06-19-03:05,5587
2018-06-19-03:10,5772
2018-06-19-03:15,5859
2018-06-19-03:20,5844
2018-06-19-03:25,5818
2018-06-19-03:30,5793
2018-06-19-03:35,5772
2018-06-19-03:40,5721
2018-06-19-03:45,5730
2018-06-19-03:50,5652
2018-06-19-03:55,3500
2018-06-19-04:00,2533
2018-06-19-04:05,2151
2018-06-19-04:10,1977
2018-06-19-04:15,1846
2018-06-19-04:20,1780
2018-06-19-04:25,1703
2018-06-19-04:30,1622
2018-06-19-04:35,1564
2018-06-19-04:40,1514
2018-06-19-04:45,1472
2018-06-19-04:50,1445
2018-06-19-04:55,1430
2018-06-19-05:00,1388
2018-06-19-05:05,1355
2018-06-19-05:10,1336
2018-06-19-05:15,1302
2018-06-19-05:20,1271
2018-06-19-05:25,1244
2018-06-19-05:30,1228
2018-06-19-05:35,1217
2018-06-19-05:40,1190
2018-06-19-05:45,1158
2018-06-19-05:50,1134
2018-06-19-05:55,1130
2018-06-19-06:00,1113
2018-06-19-06:05,1089
2018-06-19-06:10,1071
2018-06-19-06:15,1049
2018-06-19-06:20,1043
2018-06-19-06:25,1035
2018-06-19-06:30,1013
2018-06-19-06:35,987
2018-06-19-06:40,969
2018-06-19-06:45,948
2018-06-19-06:50,944
2018-06-19-06:55,924
2018-06-19-07:00,906
2018-06-19-07:05,900
2018-06-19-07:10,888
2018-06-19-07:15,865
2018-06-19-07:20,846
2018-06-19-07:25,823
2018-06-19-07:30,786
2018-06-19-07:35,759
2018-06-19-07:40,759
2018-06-19-07:45,748
2018-06-19-07:50,730
2018-06-19-07:55,727
2018-06-19-08:00,725
2018-06-19-08:05,704
2018-06-19-08:10,692
2018-06-19-08:15,677
2018-06-19-08:20,647
2018-06-19-08:25,650
2018-06-19-08:30,635
2018-06-19-08:35,604
2018-06-19-08:40,594
2018-06-19-08:45,578
2018-06-19-08:50,577
2018-06-19-08:55,588
2018-06-19-09:00,578
2018-06-19-09:05,583
2018-06-19-09:10,574
2018-06-19-09:15,577
2018-06-19-09:20,599
2018-06-19-09:25,594
2018-06-19-09:30,597
2018-06-19-09:35,589
2018-06-19-09:40,598
2018-06-19-09:45,611
2018-06-19-09:50,627
2018-06-19-09:55,620
2018-06-19-10:00,628
2018-06-19-10:05,633
2018-06-19-10:10,646
2018-06-19-10:15,651
2018-06-19-10:20,651
2018-06-19-10:25,655
2018-06-19-10:30,631
2018-06-19-10:35,625
2018-06-19-10:40,618
2018-06-19-10:45,630
2018-06-19-10:50,640
2018-06-19-10:55,648
2018-06-19-11:00,678
2018-06-19-11:05,690
2018-06-19-11:10,703
2018-06-19-11:15,707
2018-06-19-11:20,713
2018-06-19-11:25,728
2018-06-19-11:30,727
2018-06-19-11:35,632
2018-06-19-11:40,565
2018-06-19-11:45,552
2018-06-19-11:50,552
2018-06-19-11:55,532
2018-06-19-12:00,529
2018-06-19-12:05,527
2018-06-19-12:10,542
2018-06-19-12:15,553
2018-06-19-12:20,570
2018-06-19-12:25,571
2018-06-19-12:30,558
2018-06-19-12:35,547
2018-06-19-12:40,550
2018-06-19-12:45,566
2018-06-19-12:50,557
2018-06-19-12:55,557
2018-06-19-13:00,532
2018-06-19-13:05,527
2018-06-19-13:10,534
2018-06-19-13:15,532
2018-06-19-13:20,513
2018-06-19-13:25,509
2018-06-19-13:30,518
2018-06-19-13:35,517
2018-06-19-13:40,524
2018-06-19-13:45,539
2018-06-19-13:50,535
2018-06-19-13:55,530
2018-06-19-14:00,537
2018-06-19-14:05,276
2018-06-19-14:10,3
2018-06-19-14:15,61
2018-06-19-14:20,184
2018-06-19-14:25,347
2018-06-19-14:30,538
2018-06-19-14:35,525
2018-06-19-14:40,521
2018-06-19-14:45,519
2018-06-19-14:50,536
2018-06-19-14:55,543
2018-06-19-15:00,529
2018-06-19-15:05,535
2018-06-19-15:10,547
2018-06-19-15:15,545
2018-06-19-15:20,537
2018-06-19-15:25,532
2018-06-19-15:30,518
2018-06-19-15:35,528
2018-06-19-15:40,534
2018-06-19-15:45,545
2018-06-19-15:50,547
2018-06-19-15:55,556
2018-06-19-16:00,568
2018-06-19-16:05,569
2018-06-19-16:10,563
2018-06-19-16:15,560
2018-06-19-16:20,535
2018-06-19-16:25,529
2018-06-19-16:30,538
2018-06-19-16:35,531
2018-06-19-16:40,527
2018-06-19-16:45,517
2018-06-19-16:50,527
2018-06-19-16:55,115
2018-06-19-17:00,50
2018-06-19-17:05,212
2018-06-19-17:10,477
2018-06-19-17:15,617
2018-06-19-17:20,642
2018-06-19-17:25,662
2018-06-19-17:30,670
2018-06-19-17:35,700
2018-06-19-17:40,728
2018-06-19-17:45,761
2018-06-19-17:50,780
2018-06-19-17:55,830
2018-06-19-18:00,825
2018-06-19-18:05,847
2018-06-19-18:10,879
2018-06-19-18:15,747
2018-06-19-18:20,842
2018-06-19-18:25,1015
2018-06-19-18:30,1046
2018-06-19-18:35,1108
2018-06-19-18:40,1146
2018-06-19-18:45,1199
2018-06-19-18:50,1254
2018-06-19-18:55,1319
2018-06-19-19:00,1427
2018-06-19-19:05,1439
2018-06-19-19:10,1532
2018-06-19-19:15,1686
2018-06-19-19:20,1898
2018-06-19-19:25,2193
2018-06-19-19:30,2574
2018-06-19-19:35,3021
2018-06-19-19:40,3665
2018-06-19-19:45,4458
2018-06-19-19:50,5584
2018-06-19-19:55,7188
2018-06-19-20:00,8133
2018-06-19-20:05,8632
2018-06-19-20:10,8781
2018-06-19-20:15,9518
2018-06-19-20:20,10428
2018-06-19-20:25,10783
2018-06-19-20:30,11031
2018-06-19-20:35,11627
2018-06-19-20:40,12165
2018-06-19-20:45,11951
2018-06-19-20:50,10325
2018-06-19-20:55,10524
2018-06-19-21:00,11312
2018-06-19-21:05,12601
2018-06-19-21:10,13591
2018-06-19-21:15,14238
2018-06-19-21:20,14635
2018-06-19-21:25,14985
2018-06-19-21:30,15277
2018-06-19-21:35,15593
2018-06-19-21:40,15862
2018-06-19-21:45,16165
2018-06-19-21:50,16049
2018-06-19-21:55,9770
2018-06-19-22:00,7922
2018-06-19-22:05,6681
2018-06-19-22:10,6321
2018-06-19-22:15,6008
2018-06-19-22:20,5811
2018-06-19-22:25,5851
2018-06-19-22:30,5796
2018-06-19-22:35,5909
2018-06-19-22:40,6064
2018-06-19-22:45,6271
2018-06-19-22:50,6666
2018-06-19-22:55,7544
2018-06-19-23:00,8960
2018-06-19-23:05,10072
2018-06-19-23:10,10687
2018-06-19-23:15,11123
2018-06-19-23:20,11394
2018-06-19-23:25,11619
2018-06-19-23:30,11744
2018-06-19-23:35,11747
2018-06-19-23:40,11866
2018-06-19-23:45,11922
2018-06-19-23:50,10081
2018-06-19-23:55,9268
2018-06-20-00:00,9331
2018-06-20-00:05,9821
2018-06-20-00:10,10340
2018-06-20-00:15,10498
2018-06-20-00:20,10735
2018-06-20-00:25,10610
2018-06-20-00:30,10454
2018-06-20-00:35,10310
2018-06-20-00:40,10133
2018-06-20-00:45,10048
2018-06-20-00:50,10244
2018-06-20-00:55,7718
2018-06-20-01:00,5310
2018-06-20-01:05,4548
2018-06-20-01:10,4278
2018-06-20-01:15,4088
2018-06-20-01:20,3813
2018-06-20-01:25,3684
2018-06-20-01:30,3630
2018-06-20-01:35,3614
2018-06-20-01:40,3636
2018-06-20-01:45,3666
2018-06-20-01:50,3820
2018-06-20-01:55,4146
2018-06-20-02:00,4686
2018-06-20-02:05,5002
2018-06-20-02:10,5194
2018-06-20-02:15,5329
2018-06-20-02:20,5349
2018-06-20-02:25,5362
2018-06-20-02:30,5348
2018-06-20-02:35,5312
2018-06-20-02:40,5317
2018-06-20-02:45,4746
2018-06-20-02:50,4228
2018-06-20-02:55,4215
2018-06-20-03:00,4415
2018-06-20-03:05,4569
2018-06-20-03:10,4638
2018-06-20-03:15,4625
2018-06-20-03:20,4435
2018-06-20-03:25,4294
2018-06-20-03:30,4303
2018-06-20-03:35,4285
2018-06-20-03:40,4227
2018-06-20-03:45,4129
2018-06-20-03:50,3433
2018-06-20-03:55,2396
2018-06-20-04:00,2062
2018-06-20-04:05,1886
2018-06-20-04:10,1796
2018-06-20-04:15,1722
2018-06-20-04:20,1654
2018-06-20-04:25,1598
2018-06-20-04:30,1557
2018-06-20-04:35,1527
2018-06-20-04:40,1468
2018-06-20-04:45,1433
2018-06-20-04:50,1397
2018-06-20-04:55,1374
2018-06-20-05:00,1354
2018-06-20-05:05,1314
2018-06-20-05:10,1288
2018-06-20-05:15,1270
2018-06-20-05:20,1235
2018-06-20-05:25,1218
2018-06-20-05:30,1202
2018-06-20-05:35,1172
2018-06-20-05:40,1153
2018-06-20-05:45,1118
2018-06-20-05:50,1102
2018-06-20-05:55,1081
2018-06-20-06:00,1066
2018-06-20-06:05,1047
2018-06-20-06:10,1020
2018-06-20-06:15,1002
2018-06-20-06:20,980
