Date,MOD
2018-06-16-11:15,21003
2018-06-16-11:20,21497
2018-06-16-11:25,21519
2018-06-16-11:30,16317
2018-06-16-11:35,16138
2018-06-16-11:40,16011
2018-06-16-11:45,4335
2018-06-16-11:50,4308
2018-06-16-11:55,4288
2018-06-16-12:00,2125
2018-06-16-12:05,2095
2018-06-16-12:10,2085
2018-06-16-12:15,878
2018-06-16-12:20,874
2018-06-16-12:25,865
2018-06-16-12:30,3112
2018-06-16-12:35,3115
2018-06-16-12:40,3121
2018-06-16-12:45,3118
2018-06-16-12:50,3120
2018-06-16-12:55,3118
2018-06-16-13:00,3109
2018-06-16-13:05,3105
2018-06-16-13:10,3115
2018-06-16-13:15,3108
2018-06-16-13:20,3113
2018-06-16-13:25,3122
2018-06-16-13:30,3119
2018-06-16-13:35,3131
2018-06-16-13:40,3137
2018-06-16-13:45,3143
2018-06-16-13:50,3160
2018-06-16-13:55,3172
2018-06-16-14:00,3171
2018-06-16-14:05,3139
2018-06-16-14:10,3118
2018-06-16-14:15,3127
2018-06-16-14:20,3135
2018-06-16-14:25,3118
2018-06-16-14:30,3125
2018-06-16-14:35,3143
2018-06-16-14:40,3159
2018-06-16-14:45,3178
2018-06-16-14:50,3208
2018-06-16-14:55,3215
2018-06-16-15:00,3225
2018-06-16-15:05,3250
2018-06-16-15:10,3269
2018-06-16-15:15,3285
2018-06-16-15:20,3298
2018-06-16-15:25,3309
2018-06-16-15:30,3269
2018-06-16-15:35,3276
2018-06-16-15:40,3274
2018-06-16-15:45,3292
2018-06-16-15:50,3315
2018-06-16-15:55,3353
2018-06-16-16:00,3351
2018-06-16-16:05,3363
2018-06-16-16:10,3359
2018-06-16-16:15,3379
2018-06-16-16:20,3411
2018-06-16-16:25,3433
2018-06-16-16:30,3375
2018-06-16-16:35,3298
2018-06-16-16:40,3239
2018-06-16-16:45,3227
2018-06-16-16:50,3239
2018-06-16-16:55,3231
2018-06-16-17:00,3247
2018-06-16-17:05,3280
2018-06-16-17:10,3312
2018-06-16-17:15,3313
2018-06-16-17:20,3350
2018-06-16-17:25,3393
2018-06-16-17:30,3493
2018-06-16-17:35,3642
2018-06-16-17:40,3803
2018-06-16-17:45,3950
2018-06-16-17:50,4148
2018-06-16-17:55,4602
2018-06-16-18:00,5476
2018-06-16-18:05,6144
2018-06-16-18:10,6530
2018-06-16-18:15,6820
2018-06-16-18:20,6996
2018-06-16-18:25,7117
2018-06-16-18:30,7226
2018-06-16-18:35,7337
2018-06-16-18:40,7449
2018-06-16-18:45,6783
2018-06-16-18:50,6057
2018-06-16-18:55,6267
2018-06-16-19:00,6744
2018-06-16-19:05,7216
2018-06-16-19:10,7318
2018-06-16-19:15,6861
2018-06-16-19:20,6361
2018-06-16-19:25,3953
2018-06-16-19:30,3484
2018-06-16-19:35,2963
2018-06-16-19:40,2963
2018-06-16-19:45,2963
2018-06-16-19:50,2963
2018-06-16-19:55,2963
2018-06-16-20:00,2963
2018-06-16-20:05,2963
2018-06-16-20:10,13616
2018-06-16-20:15,13701
2018-06-16-20:20,13845
2018-06-16-20:25,27702
2018-06-16-20:30,28000
2018-06-16-20:35,28682
2018-06-16-20:40,31063
2018-06-16-20:45,31284
2018-06-16-20:50,31574
2018-06-16-20:55,32278
2018-06-16-21:00,50216
2018-06-16-21:05,49225
2018-06-16-21:10,47371
2018-06-16-21:15,53406
2018-06-16-21:20,53385
2018-06-16-21:25,53385
2018-06-16-21:30,57783
2018-06-16-21:35,57783
2018-06-16-21:40,57783
2018-06-16-21:45,55630
2018-06-16-21:50,55630
2018-06-16-21:55,55630
2018-06-16-22:00,59994
2018-06-16-22:05,59994
2018-06-16-22:10,59994
2018-06-16-22:15,66935
2018-06-16-22:20,66935
2018-06-16-22:25,66935
2018-06-16-22:30,70910
2018-06-16-22:35,70910
2018-06-16-22:40,70910
2018-06-16-22:45,74264
2018-06-16-22:50,74264
2018-06-16-22:55,74264
2018-06-16-23:00,44549
2018-06-16-23:05,44549
2018-06-16-23:10,44549
2018-06-16-23:15,35184
2018-06-16-23:20,35184
2018-06-16-23:25,35184
2018-06-16-23:30,32583
2018-06-16-23:35,32583
2018-06-16-23:40,32583
2018-06-16-23:45,32531
2018-06-16-23:50,32531
2018-06-16-23:55,32531
2018-06-17-00:00,39274
2018-06-17-00:05,39274
2018-06-17-00:10,39274
2018-06-17-00:15,42064
2018-06-17-00:20,42064
2018-06-17-00:25,42064
2018-06-17-00:30,42316
2018-06-17-00:35,42316
2018-06-17-00:40,42316
2018-06-17-00:45,40154
2018-06-17-00:50,40154
2018-06-17-00:55,40154
2018-06-17-01:00,39124
2018-06-17-01:05,39124
2018-06-17-01:10,39124
2018-06-17-01:15,40465
2018-06-17-01:20,40465
2018-06-17-01:25,40465
2018-06-17-01:30,40863
2018-06-17-01:35,40863
2018-06-17-01:40,40863
2018-06-17-01:45,40837
2018-06-17-01:50,40837
2018-06-17-01:55,40837
2018-06-17-02:00,31223
2018-06-17-02:05,31223
2018-06-17-02:10,31223
2018-06-17-02:15,29340
2018-06-17-02:20,29340
2018-06-17-02:25,29340
2018-06-17-02:30,28275
2018-06-17-02:35,28275
2018-06-17-02:40,28275
2018-06-17-02:45,27882
2018-06-17-02:50,27882
2018-06-17-02:55,27882
2018-06-17-03:00,29038
2018-06-17-03:05,29038
2018-06-17-03:10,29038
2018-06-17-03:15,29168
2018-06-17-03:20,29168
2018-06-17-03:25,29168
2018-06-17-03:30,29111
2018-06-17-03:35,29111
2018-06-17-03:40,29111
2018-06-17-03:45,28383
2018-06-17-03:50,28383
2018-06-17-03:55,28383
2018-06-17-04:00,28176
2018-06-17-04:05,28176
2018-06-17-04:10,28176
2018-06-17-04:15,28178
2018-06-17-04:20,28178
2018-06-17-04:25,28178
2018-06-17-04:30,28014
2018-06-17-04:35,28014
2018-06-17-04:40,28014
2018-06-17-04:45,27598
2018-06-17-04:50,27598
2018-06-17-04:55,27598
2018-06-17-05:00,25997
2018-06-17-05:05,25997
2018-06-17-05:10,25997
2018-06-17-05:15,25561
2018-06-17-05:20,25561
2018-06-17-05:25,25561
2018-06-17-05:30,25112
2018-06-17-05:35,25112
2018-06-17-05:40,25112
2018-06-17-05:45,24806
2018-06-17-05:50,24806
2018-06-17-05:55,24806
2018-06-17-06:00,24043
2018-06-17-06:05,24043
2018-06-17-06:10,24043
2018-06-17-06:15,23593
2018-06-17-06:20,23661
2018-06-17-06:25,23628
2018-06-17-06:30,23558
2018-06-17-06:35,23706
2018-06-17-06:40,23707
2018-06-17-06:45,23333
2018-06-17-06:50,23327
2018-06-17-06:55,23327
2018-06-17-07:00,22770
2018-06-17-07:05,22760
2018-06-17-07:10,22752
2018-06-17-07:15,22411
2018-06-17-07:20,22408
2018-06-17-07:25,22412
2018-06-17-07:30,22216
2018-06-17-07:35,22219
2018-06-17-07:40,22212
2018-06-17-07:45,22125
2018-06-17-07:50,22128
2018-06-17-07:55,22125
2018-06-17-08:00,21998
2018-06-17-08:05,21990
2018-06-17-08:10,21971
2018-06-17-08:15,20581
2018-06-17-08:20,20578
2018-06-17-08:25,20588
2018-06-17-08:30,20479
2018-06-17-08:35,20488
2018-06-17-08:40,20478
2018-06-17-08:45,19624
2018-06-17-08:50,19611
2018-06-17-08:55,19600
2018-06-17-09:00,18541
2018-06-17-09:05,18555
2018-06-17-09:10,18567
2018-06-17-09:15,18450
2018-06-17-09:20,18442
2018-06-17-09:25,18444
2018-06-17-09:30,16958
2018-06-17-09:35,16955
2018-06-17-09:40,16958
2018-06-17-09:45,17273
2018-06-17-09:50,17270
2018-06-17-09:55,17259
2018-06-17-10:00,17132
2018-06-17-10:05,17135
2018-06-17-10:10,17152
2018-06-17-10:15,16774
2018-06-17-10:20,16779
2018-06-17-10:25,16780
2018-06-17-10:30,15529
2018-06-17-10:35,15531
2018-06-17-10:40,15513
2018-06-17-10:45,15674
2018-06-17-10:50,15683
2018-06-17-10:55,15710
2018-06-17-11:00,15637
2018-06-17-11:05,15614
2018-06-17-11:10,15623
2018-06-17-11:15,15414
2018-06-17-11:20,15403
2018-06-17-11:25,15396
2018-06-17-11:30,14593
2018-06-17-11:35,14552
2018-06-17-11:40,14551
2018-06-17-11:45,13142
2018-06-17-11:50,13144
2018-06-17-11:55,13159
2018-06-17-12:00,12014
2018-06-17-12:05,12008
2018-06-17-12:10,12017
2018-06-17-12:15,12001
2018-06-17-12:20,11999
2018-06-17-12:25,12008
2018-06-17-12:30,12477
2018-06-17-12:35,12499
2018-06-17-12:40,12504
2018-06-17-12:45,13029
2018-06-17-12:50,13037
2018-06-17-12:55,13056
2018-06-17-13:00,12266
2018-06-17-13:05,12257
2018-06-17-13:10,12255
2018-06-17-13:15,12373
2018-06-17-13:20,12394
2018-06-17-13:25,12406
2018-06-17-13:30,13066
2018-06-17-13:35,13066
2018-06-17-13:40,13064
2018-06-17-13:45,13268
2018-06-17-13:50,13273
2018-06-17-13:55,13264
2018-06-17-14:00,13434
2018-06-17-14:05,13400
2018-06-17-14:10,13323
2018-06-17-14:15,11321
2018-06-17-14:20,11319
2018-06-17-14:25,11322
2018-06-17-14:30,10832
2018-06-17-14:35,10830
2018-06-17-14:40,10846
2018-06-17-14:45,10913
2018-06-17-14:50,10909
2018-06-17-14:55,10912
2018-06-17-15:00,11084
2018-06-17-15:05,11076
2018-06-17-15:10,11062
2018-06-17-15:15,10765
2018-06-17-15:20,10763
2018-06-17-15:25,10764
2018-06-17-15:30,10489
2018-06-17-15:35,10493
2018-06-17-15:40,10500
2018-06-17-15:45,10875
2018-06-17-15:50,10876
2018-06-17-15:55,10881
2018-06-17-16:00,11537
2018-06-17-16:05,11532
2018-06-17-16:10,11526
2018-06-17-16:15,11768
2018-06-17-16:20,11769
2018-06-17-16:25,11778
2018-06-17-16:30,12124
2018-06-17-16:35,12116
2018-06-17-16:40,12082
2018-06-17-16:45,11036
2018-06-17-16:50,11041
2018-06-17-16:55,11033
2018-06-17-17:00,11549
2018-06-17-17:05,11580
2018-06-17-17:10,11614
2018-06-17-17:15,12707
2018-06-17-17:20,12708
2018-06-17-17:25,12730
2018-06-17-17:30,13656
2018-06-17-17:35,13675
2018-06-17-17:40,13687
2018-06-17-17:45,14526
2018-06-17-17:50,14531
2018-06-17-17:55,14518
2018-06-17-18:00,13913
2018-06-17-18:05,13915
2018-06-17-18:10,13938
2018-06-17-18:15,15135
2018-06-17-18:20,15164
2018-06-17-18:25,15190
2018-06-17-18:30,12125
2018-06-17-18:35,12125
2018-06-17-18:40,12144
2018-06-17-18:45,16239
2018-06-17-18:50,16242
2018-06-17-18:55,16271
2018-06-17-19:00,16298
2018-06-17-19:05,14940
2018-06-17-19:10,14923
2018-06-17-19:15,15297
2018-06-17-19:20,15324
2018-06-17-19:25,15393
2018-06-17-19:30,17845
2018-06-17-19:35,17967
2018-06-17-19:40,18081
2018-06-17-19:45,22161
2018-06-17-19:50,22320
2018-06-17-19:55,22726
2018-06-17-20:00,33819
2018-06-17-20:05,34309
2018-06-17-20:10,34669
2018-06-17-20:15,38829
2018-06-17-20:20,39004
2018-06-17-20:25,39113
2018-06-17-20:30,41553
2018-06-17-20:35,41652
2018-06-17-20:40,41751
2018-06-17-20:45,22080
2018-06-17-20:50,21283
2018-06-17-20:55,21322
2018-06-17-21:00,14407
2018-06-17-21:05,14891
2018-06-17-21:10,15213
2018-06-17-21:15,43832
2018-06-17-21:20,43904
2018-06-17-21:25,43967
2018-06-17-21:30,50553
2018-06-17-21:35,50635
2018-06-17-21:40,50684
2018-06-17-21:45,26919
2018-06-17-21:50,27131
2018-06-17-21:55,25420
2018-06-17-22:00,10667
2018-06-17-22:05,10307
2018-06-17-22:10,10270
2018-06-17-22:15,26573
2018-06-17-22:20,26565
2018-06-17-22:25,26655
2018-06-17-22:30,28862
2018-06-17-22:35,29032
2018-06-17-22:40,29275
2018-06-17-22:45,34134
2018-06-17-22:50,34563
2018-06-17-22:55,35592
2018-06-17-23:00,53942
2018-06-17-23:05,55227
2018-06-17-23:10,56024
2018-06-17-23:15,56480
2018-06-17-23:20,63190
2018-06-17-23:25,63495
2018-06-17-23:30,37222
2018-06-17-23:35,37552
2018-06-17-23:40,37772
2018-06-17-23:45,36258
2018-06-17-23:50,31982
2018-06-17-23:55,28202
2018-06-18-00:00,28197
2018-06-18-00:05,28197
2018-06-18-00:10,28197
2018-06-18-00:15,28197
2018-06-18-00:20,28197
2018-06-18-00:25,28197
2018-06-18-00:30,28197
2018-06-18-00:35,28197
2018-06-18-00:40,28197
2018-06-18-00:45,28197
2018-06-18-00:50,28527
2018-06-18-00:55,28281
2018-06-18-01:00,28326
2018-06-18-01:05,28454
2018-06-18-01:10,28663
2018-06-18-01:15,29174
2018-06-18-01:20,29886
2018-06-18-01:25,29984
2018-06-18-01:30,30058
2018-06-18-01:35,30145
2018-06-18-01:40,30262
2018-06-18-01:45,30410
2018-06-18-01:50,30656
2018-06-18-01:55,31317
2018-06-18-02:00,32331
2018-06-18-02:05,32989
2018-06-18-02:10,33275
2018-06-18-02:15,33502
2018-06-18-02:20,33619
2018-06-18-02:25,33681
2018-06-18-02:30,33692
2018-06-18-02:35,33675
2018-06-18-02:40,33648
2018-06-18-02:45,33241
2018-06-18-02:50,31748
2018-06-18-02:55,31796
2018-06-18-03:00,32159
2018-06-18-03:05,32614
2018-06-18-03:10,32868
2018-06-18-03:15,32993
2018-06-18-03:20,33020
2018-06-18-03:25,33057
2018-06-18-03:30,33093
2018-06-18-03:35,33118
2018-06-18-03:40,33147
2018-06-18-03:45,33209
2018-06-18-03:50,33246
2018-06-18-03:55,31007
2018-06-18-04:00,29715
2018-06-18-04:05,29327
2018-06-18-04:10,29177
2018-06-18-04:15,29100
2018-06-18-04:20,29059
2018-06-18-04:25,29016
2018-06-18-04:30,28974
2018-06-18-04:35,28947
2018-06-18-04:40,28918
2018-06-18-04:45,28890
2018-06-18-04:50,28763
2018-06-18-04:55,28753
2018-06-18-05:00,28737
2018-06-18-05:05,28708
2018-06-18-05:10,28685
2018-06-18-05:15,28673
2018-06-18-05:20,28660
2018-06-18-05:25,28650
2018-06-18-05:30,28645
2018-06-18-05:35,28632
2018-06-18-05:40,28618
2018-06-18-05:45,28608
2018-06-18-05:50,28602
2018-06-18-05:55,28594
2018-06-18-06:00,28586
2018-06-18-06:05,28577
2018-06-18-06:10,28571
2018-06-18-06:15,28554
2018-06-18-06:20,28553
2018-06-18-06:25,28548
2018-06-18-06:30,28538
2018-06-18-06:35,28531
2018-06-18-06:40,28537
2018-06-18-06:45,28537
2018-06-18-06:50,28531
2018-06-18-06:55,28550
2018-06-18-07:00,28556
2018-06-18-07:05,28541
2018-06-18-07:10,28535
2018-06-18-07:15,28528
2018-06-18-07:20,28509
2018-06-18-07:25,28487
2018-06-18-07:30,28482
2018-06-18-07:35,28476
2018-06-18-07:40,28467
2018-06-18-07:45,28475
2018-06-18-07:50,28479
2018-06-18-07:55,28480
2018-06-18-08:00,28493
2018-06-18-08:05,28492
2018-06-18-08:10,28494
2018-06-18-08:15,28501
2018-06-18-08:20,28501
2018-06-18-08:25,28506
2018-06-18-08:30,28506
2018-06-18-08:35,28461
2018-06-18-08:40,28449
2018-06-18-08:45,28439
2018-06-18-08:50,28441
2018-06-18-08:55,28451
2018-06-18-09:00,28462
2018-06-18-09:05,28462
2018-06-18-09:10,28477
2018-06-18-09:15,28474
2018-06-18-09:20,28484
2018-06-18-09:25,28497
2018-06-18-09:30,28500
2018-06-18-09:35,28537
2018-06-18-09:40,28576
2018-06-18-09:45,28603
2018-06-18-09:50,28623
2018-06-18-09:55,28637
2018-06-18-10:00,28652
2018-06-18-10:05,28652
2018-06-18-10:10,28667
2018-06-18-10:15,28684
2018-06-18-10:20,28697
2018-06-18-10:25,28700
2018-06-18-10:30,28626
2018-06-18-10:35,28610
2018-06-18-10:40,28617
2018-06-18-10:45,28662
2018-06-18-10:50,28671
2018-06-18-10:55,28669
2018-06-18-11:00,28672
2018-06-18-11:05,28679
2018-06-18-11:10,28686
2018-06-18-11:15,28695
2018-06-18-11:20,28713
2018-06-18-11:25,28721
2018-06-18-11:30,28724
2018-06-18-11:35,28641
2018-06-18-11:40,28493
2018-06-18-11:45,28444
2018-06-18-11:50,28422
2018-06-18-11:55,28416
2018-06-18-12:00,28403
2018-06-18-12:05,28394
2018-06-18-12:10,28393
2018-06-18-12:15,28403
2018-06-18-12:20,28406
2018-06-18-12:25,28385
2018-06-18-12:30,28384
2018-06-18-12:35,28381
2018-06-18-12:40,28378
2018-06-18-12:45,28381
2018-06-18-12:50,28390
2018-06-18-12:55,28386
2018-06-18-13:00,28375
2018-06-18-13:05,28369
2018-06-18-13:10,28362
2018-06-18-13:15,28367
2018-06-18-13:20,28371
2018-06-18-13:25,28372
2018-06-18-13:30,28371
2018-06-18-13:35,28372
2018-06-18-13:40,28379
2018-06-18-13:45,28379
2018-06-18-13:50,28374
2018-06-18-13:55,28372
2018-06-18-14:00,28375
2018-06-18-14:05,28361
2018-06-18-14:10,28343
2018-06-18-14:15,28342
2018-06-18-14:20,28342
2018-06-18-14:25,28342
2018-06-18-14:30,28345
2018-06-18-14:35,28344
2018-06-18-14:40,28347
2018-06-18-14:45,28340
2018-06-18-14:50,28351
2018-06-18-14:55,28352
2018-06-18-15:00,28360
2018-06-18-15:05,28368
2018-06-18-15:10,28372
2018-06-18-15:15,28376
2018-06-18-15:20,28364
2018-06-18-15:25,28354
2018-06-18-15:30,28353
2018-06-18-15:35,28357
2018-06-18-15:40,28366
2018-06-18-15:45,28379
2018-06-18-15:50,28393
2018-06-18-15:55,28391
2018-06-18-16:00,8030
2018-06-18-16:05,8032
2018-06-18-16:10,11234
2018-06-18-16:15,11237
2018-06-18-16:20,11237
2018-06-18-16:25,11720
2018-06-18-16:30,11724
2018-06-18-16:35,11704
2018-06-18-16:40,11277
2018-06-18-16:45,11282
2018-06-18-16:50,11274
2018-06-18-16:55,11984
2018-06-18-17:00,11996
2018-06-18-17:05,12007
2018-06-18-17:10,12700
2018-06-18-17:15,12716
2018-06-18-17:20,12731
2018-06-18-17:25,14095
2018-06-18-17:30,14109
2018-06-18-17:35,14098
2018-06-18-17:40,14945
2018-06-18-17:45,14954
2018-06-18-17:50,14970
2018-06-18-17:55,15003
2018-06-18-18:00,14311
2018-06-18-18:05,14309
2018-06-18-18:10,14326
2018-06-18-18:15,15374
2018-06-18-18:20,15383
2018-06-18-18:25,15367
2018-06-18-18:30,10474
2018-06-18-18:35,10479
2018-06-18-18:40,10493
2018-06-18-18:45,16816
2018-06-18-18:50,16824
2018-06-18-18:55,16840
2018-06-18-19:00,17778
2018-06-18-19:05,17757
2018-06-18-19:10,17702
2018-06-18-19:15,15171
2018-06-18-19:20,15236
2018-06-18-19:25,15335
2018-06-18-19:30,17755
2018-06-18-19:35,17983
2018-06-18-19:40,18209
2018-06-18-19:45,22230
2018-06-18-19:50,22557
2018-06-18-19:55,23288
2018-06-18-20:00,43148
2018-06-18-20:05,44115
2018-06-18-20:10,44606
2018-06-18-20:15,58611
2018-06-18-20:20,58953
2018-06-18-20:25,59218
2018-06-18-20:30,65841
2018-06-18-20:35,66004
2018-06-18-20:40,66149
2018-06-18-20:45,66711
2018-06-18-20:50,65118
2018-06-18-20:55,65211
2018-06-18-21:00,64644
2018-06-18-21:05,65503
2018-06-18-21:10,66180
2018-06-18-21:15,76429
2018-06-18-21:20,76858
2018-06-18-21:25,76865
2018-06-18-21:30,80449
2018-06-18-21:35,80622
2018-06-18-21:40,80847
2018-06-18-21:45,83313
2018-06-18-21:50,82530
2018-06-18-21:55,76122
2018-06-18-22:00,47265
2018-06-18-22:05,46949
2018-06-18-22:10,46949
2018-06-18-22:15,40351
2018-06-18-22:20,40351
2018-06-18-22:25,40351
2018-06-18-22:30,38476
2018-06-18-22:35,38476
2018-06-18-22:40,38476
2018-06-18-22:45,38867
2018-06-18-22:50,38867
2018-06-18-22:55,38867
2018-06-18-23:00,47898
2018-06-18-23:05,47898
2018-06-18-23:10,47898
2018-06-18-23:15,54216
2018-06-18-23:20,54580
2018-06-18-23:25,55005
2018-06-18-23:30,56735
2018-06-18-23:35,56885
2018-06-18-23:40,57810
2018-06-18-23:45,56191
2018-06-18-23:50,57466
2018-06-18-23:55,57785
2018-06-19-00:00,53396
2018-06-19-00:05,54100
2018-06-19-00:10,54605
2018-06-19-00:15,58032
2018-06-19-00:20,58140
2018-06-19-00:25,58133
2018-06-19-00:30,56733
2018-06-19-00:35,56610
2018-06-19-00:40,56494
2018-06-19-00:45,54209
2018-06-19-00:50,53937
2018-06-19-00:55,51333
2018-06-19-01:00,39285
2018-06-19-01:05,38984
2018-06-19-01:10,38918
2018-06-19-01:15,35921
2018-06-19-01:20,35858
2018-06-19-01:25,35793
2018-06-19-01:30,34052
2018-06-19-01:35,34080
2018-06-19-01:40,34125
2018-06-19-01:45,33758
2018-06-19-01:50,33848
2018-06-19-01:55,34094
2018-06-19-02:00,36187
2018-06-19-02:05,36584
2018-06-19-02:10,36765
2018-06-19-02:15,38267
2018-06-19-02:20,38318
2018-06-19-02:25,38341
2018-06-19-02:30,38581
2018-06-19-02:35,38645
2018-06-19-02:40,38685
2018-06-19-02:45,38078
2018-06-19-02:50,37183
2018-06-19-02:55,37171
2018-06-19-03:00,36130
2018-06-19-03:05,36376
2018-06-19-03:10,36533
2018-06-19-03:15,37184
2018-06-19-03:20,37215
2018-06-19-03:25,37216
2018-06-19-03:30,37192
2018-06-19-03:35,37189
2018-06-19-03:40,37205
2018-06-19-03:45,37107
2018-06-19-03:50,37042
2018-06-19-03:55,35881
2018-06-19-04:00,31730
2018-06-19-04:05,31555
2018-06-19-04:10,31489
2018-06-19-04:15,30283
2018-06-19-04:20,30253
2018-06-19-04:25,30226
2018-06-19-04:30,29829
2018-06-19-04:35,29816
2018-06-19-04:40,29802
2018-06-19-04:45,29448
2018-06-19-04:50,29439
2018-06-19-04:55,29427
2018-06-19-05:00,29164
2018-06-19-05:05,29140
2018-06-19-05:10,29130
2018-06-19-05:15,28790
2018-06-19-05:20,28780
2018-06-19-05:25,28772
2018-06-19-05:30,28620
2018-06-19-05:35,28611
2018-06-19-05:40,28603
2018-06-19-05:45,25177
2018-06-19-05:50,25178
2018-06-19-05:55,25168
2018-06-19-06:00,28018
2018-06-19-06:05,27997
2018-06-19-06:10,27986
2018-06-19-06:15,27242
2018-06-19-06:20,27218
2018-06-19-06:25,27218
2018-06-19-06:30,26703
2018-06-19-06:35,26696
2018-06-19-06:40,26704
2018-06-19-06:45,26324
2018-06-19-06:50,26319
2018-06-19-06:55,26323
2018-06-19-07:00,25993
2018-06-19-07:05,25987
2018-06-19-07:10,25989
2018-06-19-07:15,25603
2018-06-19-07:20,25586
2018-06-19-07:25,25572
2018-06-19-07:30,24438
2018-06-19-07:35,24432
2018-06-19-07:40,24437
2018-06-19-07:45,23977
2018-06-19-07:50,23988
2018-06-19-07:55,23987
2018-06-19-08:00,22937
2018-06-19-08:05,22934
2018-06-19-08:10,22939
2018-06-19-08:15,21744
2018-06-19-08:20,21721
2018-06-19-08:25,21716
2018-06-19-08:30,20550
2018-06-19-08:35,20528
2018-06-19-08:40,20517
2018-06-19-08:45,19252
2018-06-19-08:50,19236
2018-06-19-08:55,19228
2018-06-19-09:00,18370
2018-06-19-09:05,18375
2018-06-19-09:10,18378
2018-06-19-09:15,17833
2018-06-19-09:20,17837
2018-06-19-09:25,17836
2018-06-19-09:30,17213
2018-06-19-09:35,17236
2018-06-19-09:40,17244
2018-06-19-09:45,17307
2018-06-19-09:50,17316
2018-06-19-09:55,17324
2018-06-19-10:00,17263
2018-06-19-10:05,17264
2018-06-19-10:10,17275
2018-06-19-10:15,17419
2018-06-19-10:20,17414
2018-06-19-10:25,17419
2018-06-19-10:30,16416
2018-06-19-10:35,16401
2018-06-19-10:40,16393
2018-06-19-10:45,16257
2018-06-19-10:50,16265
2018-06-19-10:55,16282
2018-06-19-11:00,16003
2018-06-19-11:05,16008
2018-06-19-11:10,16018
2018-06-19-11:15,15874
2018-06-19-11:20,15892
2018-06-19-11:25,15912
2018-06-19-11:30,15044
2018-06-19-11:35,14921
2018-06-19-11:40,14862
2018-06-19-11:45,13108
2018-06-19-11:50,13093
2018-06-19-11:55,13101
2018-06-19-12:00,11657
2018-06-19-12:05,11667
2018-06-19-12:10,11682
2018-06-19-12:15,11025
2018-06-19-12:20,11026
2018-06-19-12:25,11014
2018-06-19-12:30,10803
2018-06-19-12:35,10809
2018-06-19-12:40,10801
2018-06-19-12:45,10696
2018-06-19-12:50,10706
2018-06-19-12:55,10706
2018-06-19-13:00,10162
2018-06-19-13:05,10157
2018-06-19-13:10,10148
2018-06-19-13:15,10171
2018-06-19-13:20,10178
2018-06-19-13:25,10182
2018-06-19-13:30,10201
2018-06-19-13:35,10185
2018-06-19-13:40,10185
2018-06-19-13:45,9947
2018-06-19-13:50,9948
2018-06-19-13:55,9950
2018-06-19-14:00,9497
2018-06-19-14:05,9431
2018-06-19-14:10,9362
2018-06-19-14:15,8967
2018-06-19-14:20,8998
2018-06-19-14:25,9042
2018-06-19-14:30,8988
2018-06-19-14:35,9006
2018-06-19-14:40,9013
2018-06-19-14:45,9219
2018-06-19-14:50,9225
2018-06-19-14:55,9228
2018-06-19-15:00,9318
2018-06-19-15:05,9323
2018-06-19-15:10,9319
2018-06-19-15:15,9413
2018-06-19-15:20,9421
2018-06-19-15:25,9419
2018-06-19-15:30,9137
2018-06-19-15:35,9133
2018-06-19-15:40,9134
2018-06-19-15:45,9542
2018-06-19-15:50,9553
2018-06-19-15:55,9558
2018-06-19-16:00,9886
2018-06-19-16:05,9886
2018-06-19-16:10,9870
2018-06-19-16:15,9736
2018-06-19-16:20,9717
2018-06-19-16:25,9720
2018-06-19-16:30,9511
2018-06-19-16:35,9502
2018-06-19-16:40,9500
2018-06-19-16:45,9375
2018-06-19-16:50,9364
2018-06-19-16:55,9272
2018-06-19-17:00,9397
2018-06-19-17:05,9425
2018-06-19-17:10,9473
2018-06-19-17:15,10402
2018-06-19-17:20,10421
2018-06-19-17:25,10435
2018-06-19-17:30,11141
2018-06-19-17:35,11149
2018-06-19-17:40,11157
2018-06-19-17:45,8608
2018-06-19-17:50,8606
2018-06-19-17:55,8608
2018-06-19-18:00,11475
2018-06-19-18:05,11490
2018-06-19-18:10,11500
2018-06-19-18:15,12485
2018-06-19-18:20,12514
2018-06-19-18:25,12597
2018-06-19-18:30,14386
2018-06-19-18:35,14384
2018-06-19-18:40,14383
2018-06-19-18:45,16239
2018-06-19-18:50,16272
2018-06-19-18:55,16307
2018-06-19-19:00,16306
2018-06-19-19:05,16198
2018-06-19-19:10,16179
2018-06-19-19:15,15292
2018-06-19-19:20,15325
2018-06-19-19:25,15397
2018-06-19-19:30,17070
2018-06-19-19:35,17216
2018-06-19-19:40,17434
2018-06-19-19:45,22001
2018-06-19-19:50,22331
2018-06-19-19:55,23057
2018-06-19-20:00,45547
2018-06-19-20:05,46816
2018-06-19-20:10,47563
2018-06-19-20:15,58233
2018-06-19-20:20,58556
2018-06-19-20:25,58784
2018-06-19-20:30,64275
2018-06-19-20:35,64422
2018-06-19-20:40,64668
2018-06-19-20:45,62643
2018-06-19-20:50,61034
2018-06-19-20:55,61016
2018-06-19-21:00,65296
2018-06-19-21:05,66182
2018-06-19-21:10,66851
2018-06-19-21:15,76239
2018-06-19-21:20,76534
2018-06-19-21:25,76768
2018-06-19-21:30,81794
2018-06-19-21:35,82048
2018-06-19-21:40,82201
2018-06-19-21:45,82569
2018-06-19-21:50,82287
2018-06-19-21:55,77421
2018-06-19-22:00,50269
2018-06-19-22:05,49556
2018-06-19-22:10,49337
2018-06-19-22:15,42604
2018-06-19-22:20,42537
2018-06-19-22:25,42538
